id;en;tu;fr;es;jp;ko;sc;tc;de;ru;it;bp;empty
;Jeor;;Jéor;Jeoro;ジェオル;제오;杰奥;傑奧;Jeor;Джеор;Jeor;Jeor;
;Ronas;;Ronas;Ronas;ロナス;로나스;罗纳;羅納;Ronas;Ронас;Ronas;Ronas;
;Tirius;;Tirius;Tirius;ティリウス;티리우스;提利乌斯;提利烏斯;Tirius;Тириус;Tirius;Tirius;
;Stefon;;Stéfon;Estefano;ステフォン;스테폰;斯泰丰;斯泰豐;Stefon;Стефон;Stefon;Stefon;
;Ellion;;Ellion;Elimino;エリオン;엘리온;艾里昂;艾里昂;Ellion;Эллион;Ellion;Ellion;
;Kevan;;Kevan;Kevin;ケヴァン;케반;柯凡;柯凡;Kevan;Кеван;Kevan;Kevan;
;Eddard;;Eddard;Eduardo;エダード;에드다드;艾德;艾德;Eddard;Эддард;Eddard;Eddard;
;Rodry;;Rodry;Rodrigo;ロドリー;로드리;罗德里;羅德里;Rodry;Родри;Rodry;Rodry;
;Fabiar;;Fabiar;Fabio;ファビアル;파비아;法比亚;法比亞;Fabiar;Фабиар;Fabiar;Fabiar;
;Jorah;;Jorah;Jorah;ジョラー;조라;乔拉;喬拉;Jorah;Джорах;Jorah;Jorah;
;Vernan;;Vernan;Vernan;ヴェルナン;버난;佛南;佛南;Vernan;Вернан;Vernan;Vernan;
;Fredric;;Fredric;Federico;フレドリック;프레드릭;弗雷德里;弗雷德里;Fredric;Фредрик;Fredric;Fredric;
doth_first_male;Ovvo;;Ovvo;Huevón;オォー;오보;奥沃;奧沃;Ovvo;Овво;Ovvo;Ovvo;
;Chaqo;;Chaqo;Charco;チャコ;챠코;贾科;賈科;Chaqo;Чако;Chaqo;Chaqo;
;Zinno;;Zinno;Chico;ジンノ;지노;齐诺;齊諾;Zinno;Зинно;Zinno;Zinno;
;Qravvo;;Qravvo;Bebo;クラウォ;큐라보;克拉沃;克拉沃;Qravvo;Кравво;Qravvo;Qravvo;
;Rakharo;;Rakharo;Racaro;ラクハロ;라카로;拉卡洛;拉卡洛;Rakharo;Ракхаро;Rakharo;Rakharo;
;Arro;;Arro;Arrogancio;アロー;아로;阿罗;阿羅;Arro;Арро;Arro;Arro;
unsullied;Pale Carcass;;Pâle-carcasse;Carcasa Pálida;青白き屍;창백한 시체;苍白躯干;蒼白軀幹;Fahler Kadaver;Бледный скелет;Carcassa Pallida;Carcaça Pálida;
;Bleached Bone;;Os-blanchi;Hueso Blanqueado;純白の骨;바래진 유골;漂白骨;漂白骨;Bleicher Knochen;Выбеленная кость;Osso Sbiancato;Dente Mole;
;Clothed Horse;;Cheval-vêtu;Caballo de Trapo;着衣した馬;빨래 건조대;穿衣马;穿衣馬;Bekleidetes Pferd;Мокрая вешалка;Cavallo Agghindato;Cavalo Empacado;
;Slack Face;;Face-molle;Cara Holgada;たるんだ顔;느슨한 얼굴;瘦脸颊;瘦臉頰;Schlaffes Gesicht;Мягкомордый;Faccia Fiacca;Cara Frouxa;
;Cooked Bean;;Haricot-cuit;Frijol Cocido;煮豆;구운 콩;烤豆子;烤豆子;Gekochte Bohne;Вареный боб;Fagiolo Bollito;Feijão Queimado;
;Raw Onion;;Oignon-cru;Cebolla Cruda;生タマネギ;생양파;生洋葱;生洋蔥;Rohe Zwiebel;Сырой лук;Cipolla Cruda;Cebola Podre;
west_last;Sharper;;Sharper;Agudo;シャーパー;날붙이;夏普;夏普;Beilstein;Шарпер;Sharper;Sharper;
;Blackbar;;Barrenoire;Barranegra;ブラックバー;블랙바;布莱巴尔;布萊巴爾;Schwarzgitter;Блэкбар;Blackbar;Blackbar;
;Vance;;Vance;Vanco;ヴィンス;반스;万斯;萬斯;Niderau;Вэнс;Vance;Vance;
;Toyne;;Gatoune;Toñal;トイン;토인;托因;托因;Toyn;Тойн;Toyne;Toyne;
;Redfort;;Forouge;Fortorrojo;レッドロック;레드포트;莱德福德;萊德福德;Schatburg;Рэдфорт;Redfort;Redfort;
;Reed;;Leurozo;Caña;リード;리드;黎德;黎德;Reet;Рид;Reed;Reed;
;Crook;;Crique;Ladronero;クルーク;크룩;克鲁克;克魯克;Cruk;Крук;Crook;Crook;
;Hunt;;Hunt;Cazador;ハンター;헌트;亨特;亨特;Treffel;Хаунт;Hunt;Hunt;
;Ridman ;;Mystair;Ridínez;リドマン;리드맨;里德曼;里德曼;Ritman;Ридман;Ridman;Ridman;
;Skoner;;Skoner;de Relumbrón;スコーナー;스키너;斯科纳;斯科納;Kürschner;Сконер;Skoner;Skoner;
;Thicketh;;Lépais;Gordinflas;チケッス;시케스;希克斯;希克斯;Tickes;Тикетс;Thicketh;Thicketh;
;Bywater;;Delarive;Poragua;バイタイド;바이워터;拜沃特尔;拜沃特爾;Malfurt;Байватер;Bywater;Bywater;
end_dragon;Dragon Hunger;;Un dragon affamé;Hambre de Dragón;ドラゴンの餓え;드래곤 갈망자;龙之饥饿;龍之饑餓;Drachenhunger;Голодный дракон;Fame del Drago;Fome de Dragão;
end_abomination;Mad Revenge;;Folle vengeance;Loca Venganza;狂える復讐;광기의 복수;疯狂复仇;瘋狂復仇;Irre Rache;Запоздалая месть;Folle Vendetta;Vingança Insana;
end_walker;Rusty Throne;;Le Trône rouillé;Trono Oxidado;錆びた玉座;녹슨 왕좌;生锈王座;生銹王座;Rostiger Thron;Ржавый трон;Trono Arrugginito;Trono Enferrujado;
end_flea_bottom;Walk of Shame;;La marche de la honte;Paseo de la Vergüenza;恥辱の道;수치스러운 행진;游街示众;遊街示眾;Gang der Schande;Позорное шествие;Camminata della Vergogna;Caminhada da Vergonha;
end_heart;Faceless Man;;Sans-Visage;Hombre Sin Rostro;顔なき者;얼굴 없는 자;无面者;無面者;Mann ohne Gesicht;Безликий;Uomo senza Volto;Homem sem Rosto;
end_wildfire;Wildfire Bath;;Bain de feu grégeois;Baño de Fuego Valyrio;炎素浴;와일드파이어 목욕;野火浴;野火浴;Seefeuer-Bad;Дикая ванна;Bagno di Altofuoco;Banho de Fogo Selvagem;
end_greyscale;Greyscale;;Grisécaille;Psoriagrís;灰鱗病;회색병;灰鳞病;灰鱗病;Grauschuppen;Серая хворь;Morbo Grigio;Escamagris;
end_kiss;Kiss of the Lover;;Baiser langoureux;Beso envenenado;愛人の口づけ;연인의 키스;情人之吻;情人之吻;Kuss der Liebe;Нежный поцелуй;Bacio dell'Amante;Beijo Envenenado;
end_interlude;Nine Ravens;;Neuf corbeaux;Nueve Cuervos;9羽のカラス;아홉 큰까마귀;九只乌鸦;九隻烏鴉;Neun Raben;Девять воронов;Nove Corvi;Nove Corvos;
end_swords;Forty Swords;;Quarante lames;Cuarenta Espadas;40本の剣;사십 개의 검;四十把剑;四十把劍;Vierzig Schwerter;Сорок мечей;Quaranta Spade;Quarenta Espadas;
end_pole;The Pole;;Le poteau;El Asta;棒縛り;장대;柱刑;柱刑;Der Pfahl;Шест;Il Palo;O Poste;
end_red_keep;Lost Underground;;Le dédale sous-terrain;Perdido en el Inframundo;迷宮入り;지하에서 잊힘;迷失地下;迷失地下;In den Verliesen;Выхода нет;Labirinto Sotterraneo;Labirinto Subterrâneo;
end_butterfly;Butterfly Fever;;La fièvre mystérieuse;Fiebre misteriosa;謎の病;나비열;无端高烧;無端高燒;Geheimnisvolles Fieber;Странный жар;Febbre Misteriosa;Febre Misteriosa;
end_wolf;Fangs;;Crocs;Colmillos;狼の牙;송곳니;獠牙;獠牙;Reißzähne;Когти;Artigli;Presas;
end_throne;Bloody Throne;;Le Trône de Sang;Trono Sangriento;血まみれの玉座;피로 물든 왕좌;血染王座;血染王座;Blutiger Thron;Кровавый трон;Trono di Sangue;Trono Ensanguentado;
end_daenerys;Daenerys' Flight;;L'envol de Daenerys;Vuelo de Daenerys;デナーリスの飛翔;대너리의 비행;丹妮莉丝的逃离;丹妮莉絲的逃離;Daenerys' Flucht;Полет Дейнерис;Volo di Daenerys;Voo da Daenerys;
end_tyrion;Tyrion's Bliss;;L'extase de Tyrion;La Bendición de Tyrion;ティリオンの喜び;티리온의 축복;提利昂的祝福;提利昂的祝福;Tyrions Glück;Нега Тириона;Benedizione di Tyrion;Glória de Tyrion;
end_sansa;Silent Sister;;Sœur du Silence;Hermana Silenciosa;サイレント・シスター;침묵의 자매;静默姐妹;靜默姐妹;Schweigende Schwester;Молчаливая сестра;Sorella del Silenzio;Irmã Silenciosa;
end_twins;Twins Embrace;;Inséparables jumeaux;Abrazo de Gemelos;双子の抱擁;쌍둥이의 포옹;双子的拥抱;雙子的擁抱;Umarmung der Zwillinge;Объятие близнецов;Abbraccio tra Gemelli;Abraço dos Gêmeos;
end_strangled;Arya's Neck;;Le cou d'Arya;Cuello de Arya;アリアの首;아리아의 목;艾莉亚的脖颈;艾莉亞的脖子;Aryas Hals;Шея Арьи;Collo di Arya;Pescoço da Arya;
end_poison;Bitterness;;Amertume;Amargura;苦き味;쓰라림;苦涩之味;苦澀之味;Bitterkeit;Горечь;Amarezza;Amargura;
end_cersei;More Wine;;Du vin !;Más vino;もっとワインを;술을 더 가져와라;再来些酒;再來些酒;Mehr Wein;Еще вина;Altro Vino;Mais Vinho;
end_ship;Shadow Lands;;Les Contrées de l'Ombre;Tierra de Sombras;影の土地;쉐도우랜드;暗影之地;暗影之地;Schattenländer;Край Теней;Terra delle Ombre;Terras das Sombras;
end_knights;In the melee;;Corps à corps;En tumulto de la batalla;乱闘;전투에서;短兵相接;短兵相接;Im offenen Kampf;В рукопашную;In Mischia;Em combate;
end_tourney;Broken Things;;Fractures;Cosas Rotas;壊れたものたち;부서진 것;四分五裂;四分五裂;Zerborstene Dinge;Вся королевская конница;Cose Rotte;Coisas Quebradas;
end_paradise;Far Away;;Destinée lointaine;Muy lejos;はるか遠く;저 멀리;远走高飞;遠走高飛;Weit entfernt;Далеко-далеко;Lontano;Bem Longe;
end_broken;Sad Revenge;;Triste vindicte;Triste Venganza;悲しき復讐;슬픈 복수;悲伤的复仇;悲傷的復仇;Traurige Rache;Печальная месть;Triste Vendetta;Triste Vingança;
end_good;Remembered;;Commémoration;En el recuerdo;記憶に残りし統治;기억되다;为人纪念;為人紀念;In Erinnerung;Воспоминания;Ricordo Imperituro;Na Lembrança;
end_gendry;Gendry's Curse;;La malédiction de Gendry;La Maldición de Gendry;ジェンドリーの呪い;겐드리의 저주;詹德利的诅咒;詹德利的詛咒;Gendrys Fluch;Проклятье Джендри;Maledizione di Gendry;Maldição do Gendry;
collection;In the same collection...;;Dans la même collection...;En la misma colección...;同じシリーズで…;같은 시리즈에서…;在同一系列中…;在同一系列中…;Aus der gleichen Reihe ...;В той же коллекции...;Nella stessa collezione...;Na mesma coleção...;
headphones;HEADPHONES RECOMMENDED;;CASQUE RECOMMANDÉ;AURICULARES RECOMENDADOS;ヘッドフォンを推奨;헤드폰 사용을 추천합니다;强烈建议使用耳机;強烈建議使用耳機;KOPFHÖRER EMPFOHLEN;РЕКОМЕНДУЕМ ИГРАТЬ В НАУШНИКАХ;È CONSIGLIATO L'USO DI CUFFIE;RECOMENDAMOS O USO DE FONES DE OUVIDO;
credits4;Game of Thrones series score composer;;Compositeur de la bande originale de Game of Thrones;Compositor musical de la serie Juego de Tronos;Game of Thrones シリーズ 作曲家;왕좌의 게임 사운드트랙 작곡가;权力的游戏系列剧集作曲家;權力的遊戲系列劇集作曲家;Komponist der Musik für Game of Thrones;Композитор сериала «Игра Престолов»;Compositore colonna sonora serie Game of Thrones;Compositor da trilha sonora de Game of Thrones;
names4;Ramin Djawadi;;Ramin Djawadi;Ramin Djawadi;Ramin Djawadi;Ramin Djawadi;Ramin Djawadi;Ramin Djawadi;Ramin Djawadi;Ramin Djawadi;Ramin Djawadi;Ramin Djawadi;
launch;Game translated in <replace this with your language>! Includes free iMessage stickers.;;Jeu traduit en français ! Comprend des stickers iMessage gratuits.;Juego traducido al español. Incluye stickers iMessage gratuitos.;ゲームが日本語に翻訳されました！+無料のiMessage ステッカーも付属しています。;한국어를 지원합니다! 무료 iMessage 스티커를 포함하고 있습니다.;游戏内含中文字幕！包括免费iMessage贴纸;遊戲內含中文字幕！包括免費iMessage貼紙;Deutsche Version des Spiels! Enthält kostenlose iMessage-Sticker.;Игра переведена на русский! Включает в себя бесплатные стикеры для iMessage.;Gioco tradotto in italiano! Include adesivi gratuiti per iMessage.;Jogo traduzido em Português do Brasil! Inclui adesivos grátis do iMessage!;
null;null;;;;null;null;无;無;null;null;;;
