bearer;id;type;description;firstname;firstname_tu;firstname_fr;firstname_es;firstname_jp;firstname_ko;firstname_sc;firstname_tc;firstname_de;firstname_ru;firstname_it;firstname_bp;generated;generated_tu;generated_fr;generated_es;generated_jp;generated_ko;generated_sc;generated_tc;generated_de;generated_ru;generated_it;generated_bp;name;name_tu;name_fr;name_es;name_jp;name_ko;name_sc;name_tc;name_de;name_ru;name_it;name_bp;title;title_tu;title_fr;title_es;title_jp;title_ko;title_sc;title_tc;title_de;title_ru;title_it;title_bp
lannister_soldier;103;individual;Male and military. Lannister guard.;;;;;;;;;;;;;Ser <west_first_male>;;Ser <west_first_male>;Sir <west_first_male>;サー・<west_first_male>;<west_first_male> 경;<west_first_male>爵士;<west_first_male>爵士;Ser <west_first_male>;Сир <west_first_male>;Ser <west_first_male>;Sor <west_first_male>;The Captain;;Le capitaine;El Capitán;隊長;대장;队长;隊長;Der Hauptmann;Капитан;Il Capitano;O Capitão;Captain of the Guard;;Capitaine de la Garde;Capitán de la Guardia;衛兵長;경비대장;护卫队队长;護衛隊隊長;Hauptmann der Wache;Капитан стражи;Capitano della Guardia;Capitão da Guarda
melisandre;51;individual;Female. Talent from the show. Will generally appear between reigns. Ominous, mysterious, lost.;;;;;;;;;;;;;Lady Melisandre;;Lady Mélisandre;Lady Melisandre;レディ・メリサンドル;레이디 멜리산드레;梅丽珊卓女士;梅麗珊卓女士;Lady Melisandre;Леди Мелисандра;Lady Melisandre;Lady Melisandre;The Red Priestess;;La Prêtresse Rouge;La Sacerdotisa Roja;紅の女;붉은 여사제;红祭司;紅祭司;Die Rote Priesterin;Красная жрица;La Sacerdotessa Rossa;A Sacerdotisa Vermelha;Red priestess;;Prêtresse Rouge;Sacerdotisa Roja;紅の女;붉은 여사제;红祭司;紅祭司;Rote Priesterin;Красная жрица;Sacerdotessa Rossa;Sacerdotisa Vermelha
militant;78;individual;Male and pious. Representative of the faith militant.;;;;;;;;;;;;;<west_last>;;<west_last>;<west_last>;<west_last>;<west_last>;<west_last>;<west_last>;<west_last>;<west_last>;<west_last>;<west_last>;The Militant;;Le militant;El Militante;聖兵;무장교단;民兵;民兵;Der Kriegerische Arm;Воин;Il Militante;O Militante;Faith Militant;;Foi Militante;Militante de la Fe;聖兵;무장교단;教会武装;教會武裝;Kriegerischer Arm des Glaubens;Святой воин;Credo Militante;Fé Militante
nobleman;48;individual;Male and noble. Generic noble man.;;;;;;;;;;;;;Lord <west_first_male>;;Lord <west_first_male>;Lord <west_first_male>;<west_first_male>公;<west_first_male> 경;Lord <west_first_male>;Lord <west_first_male>;Lord <west_first_male>;Лорд <west_first_male>;Lord <west_first_male>;Lorde <west_first_male>;House Caron;;Maison Caron;Casa Caron;カロン家;카론 가문;卡伦家族;卡倫家族;Haus Caron;Дом Каронов;Casa Caron;Casa Caron;House Caron;;Maison Caron;Casa Caron;カロン家;카론 가문;卡伦家族;卡倫家族;Haus Caron;Дом Каронов;Casa Caron;Casa Caron
pirate;91;individual;Male. Pirate from the Stepstones.;;;;;;;;;;;;;<west_first_male> <west_last>;;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male>・<west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;The Pirate;;Le pirate;El Pirata;海賊;해적;海盗;海盜;Der Pirat;Пират;Il pirata;O Pirata;Pirate;;Pirate;Pirata;海賊;해적;海盗;海盜;Pirat;Пират;Pirata;Pirata
pyromancer;52;individual;Male. Head of the alchemist' guild. ;;;;;;;;;;;;;<west_first_male> <west_last>;;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male>・<west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;<west_first_male> <west_last>;The Pyromancer;;Le pyromant;El Piromante;炎使い;화염술사;火术士;火術士;Der Pyromantiker;Пиромант;Il Piromante;O Piromante;Pyromancer;;Pyromant;Piromante;炎使い;화염술사;火术士;火術士;Pyromantiker;Пиромант;Piromante;Piromante
sam;73;individual;Male. Talent from the show.;;;;;;;;;;;;;Samwell Tarly;;Samwell Tarly;Samwell Tarly;サムウェル・ターリー;샘웰 탈리;山姆威尔·塔利;山姆威爾·塔利;Samwell Tarly;Сэмвелл Тарли;Samwell Tarly;Samwell Tarly;Samwell Tarly;;Samwell Tarly;Samwell Tarly;サムウェル・ターリー;샘웰 탈리;山姆威尔·塔利;山姆威爾·塔利;Samwell Tarly;Сэмвелл Тарли;Samwell Tarly;Samwell Tarly;;;;;;;;;;;;
sansa;14;individual;Female and Stark. Talent from the show.;Sansa;;Sansa;Sansa;サンサ;산사;珊莎;珊莎;Sansa;Санса;Sansa;Sansa;Lady Sansa;;Lady Sansa;Lady Sansa;レディ・サンサ;레이디 산사;珊莎女士;珊莎女士;Lady Sansa;Леди Санса;Lady Sansa;Lady Sansa;Sansa Stark;;Sansa Stark;Sansa Stark;サンサ・スターク;산사 스타크;珊莎·史塔克;珊莎·史塔克;Sansa Stark;Санса Старк;Sansa Stark;Sansa Stark;;;;;;;;;;;;
sellsword;96;individual;Male. Generic sellsword from the Golden Company.;;;;;;;;;;;;;<west_first_male> <doth_first_male>;;<west_first_male> <doth_first_male>;<west_first_male> <doth_first_male>;<west_first_male>・<doth_first_male>;<west_first_male> <doth_first_male>;<west_first_male> <doth_first_male>;<west_first_male> <doth_first_male>;<west_first_male> <doth_first_male>;<west_first_male> <doth_first_male>;<west_first_male> <doth_first_male>;<west_first_male> <doth_first_male>;The Sellsword;;Le mercenaire;El Mercenario;傭兵;셀소드;雇佣兵;雇傭兵;Der Söldner;Наемник;Il mercenario;O Mercenário;Golden Company;;Compagnie Dorée;Compañía Dorada;黄金兵団;골든 컴퍼니;黄金团;黃金團;Goldene Kompanie;Золотые мечи;Compagnia Dorata;Companhia Dourada
septa;92;individual;Female and pious. Generic septa.;;;;;;;;;;;;;<west_first_female> <west_last>;;<west_first_female> <west_last>;<west_first_female> <west_last>;<west_first_female>・<west_last>;<west_first_female> <west_last>;<west_first_female> <west_last>;<west_first_female> <west_last>;<west_first_female> <west_last>;<west_first_female> <west_last>;<west_first_female> <west_last>;<west_first_female> <west_last>;The Septa;;La septa;La Septa;セプタ;셉타;修女;修女;Die Septa;Септа;La Septa;A Septa;Septa;;Septa;Septa;セプタ;셉타;修女;修女;Septa;Септа;Septa;Septa
tyrion;61;individual;Male and Lannister. Talent from the show.;Tyrion;;Tyrion;Tyrion;ティリオン;티리온;提利昂;提利昂;Tyrion;Тирион;Tyrion;Tyrion;Lord Tyrion;;Lord Tyrion;Lord Tyrion;ティリオン公;티리온 경;提利昂大人;提利昂大人;Lord Tyrion;Лорд Тирион;Lord Tyrion;Lorde Tyrion;Tyrion Lannister;;Tyrion Lannister;Tyrion Lannister;ティリオン・ラニスター;티리온 라니스터;提利昂·兰尼斯特;提利昂·蘭尼斯特;Tyrion Lennister;Тирион Ланнистер;Tyrion Lannister;Tyrion Lannister;;;;;;;;;;;;
unsullied;86;individual;Male. Generic unsullied.;;;;;;;;;;;;;<unsullied>;;<unsullied>;<unsullied>;<unsullied>;<unsullied>;<unsullied>;<unsullied>;<unsullied>;<unsullied>;<unsullied>;<unsullied>;The Unsullied;;L'Immaculé;El Inmaculado;穢れなき軍団;무결병;无垢者;無垢者;Der Unbefleckte;Безупречный;L'Immacolato;O Imaculado;Unsullied;;Immaculé;Inmaculado;穢れなき軍団;무결병;无垢者;無垢者;Unbefleckter;Безупречный;Immacolato;Imaculado
varys;59;individual;Male and people. Talent from the show.;;;;;;;;;;;;;Lord Varys;;Lord Varys;Lord Varys;ヴァリス公;바리스 경;瓦里斯大人;瓦里斯大人;Lord Varys;Лорд Варис;Lord Varys;Lorde Varys;Lord Varys;;Lord Varys;Lord Varys;ヴァリス公;바리스 경;瓦里斯大人;瓦里斯大人;Lord Varys;Лорд Варис;Lord Varys;Lorde Varys;;;;;;;;;;;;
walker;93;individual;Male. White Walker (doesn't speak).;;;;;;;;;;;;;? ? ?;;? ? ?;? ? ?;? ? ?;? ? ?;？？？;？？？;? ? ?;? ? ?;? ? ?;? ? ?;The White Walker;;Le marcheur blanc;El Caminante Blanco;ホワイト・ウォーカー;화이트 워커;异鬼;異鬼;Der Weiße Wanderer;Белый ходок;L'Estraneo;O Vagante Branco;White Walker;;Marcheur blanc;Caminante Blanco;ホワイト・ウォーカー;화이트 워커;异鬼;異鬼;Weißer Wanderer;Белый ходок;Estraneo;Vagante Branco
cat;98;special;Male cat. King of the castle.;;;;;;;;;;;;;Balerion;;Balerion;Balerion;バレリオン;발레리온;贝勒里恩;貝勒里恩;Balerion;Балерион;Balerion;Balerion;The Cat;;Le chat;El Gato;ネコ;고양이;猫;貓;Der Kater;Кот;Il gatto;O Gato;King of the Castle;;Roi du château;Rey del Castillo;城の主;성의 왕;城堡之王;城堡之王;König der Burg;Король Замка;Re del Castello;Rei do Castelo
crowd;71;special;Undefined. A crowd of people (generally in front of the Red Keep or before a big battle).;;;;;;;;;;;;;A crowd;;Une foule;Una multitud;人の群れ;군중;一群人;一群人;Eine Menge;Толпа;Una folla;Uma multidão;The Crowd;;La foule;La multitud;人の群れ;군중;人们;人們;Die Menge;Толпа;La folla;A Multidão;;;;;;;;;;;;
drogon;27;special;Dragon. Has eyes closed or open.;;;;;;;;;;;;;Drogon;;Drogon;Drogon;ドロゴン;드로곤;卓耿;卓耿;Drogon;Дрогон;Drogon;Drogon;The Dragon;;Le dragon;El Dragón;ドラゴン;드래곤;龙;龍;Der Drache;Дракон;Il drago;O Dragão;Dragon;;Dragon;Dragón;ドラゴン;드래곤;龙;龍;Drache;Дракон;Drago;Dragão
dungeon;68;special;Series of dungeon cards (showing rooms).;;;;;;;;;;;;;Dungeon;;Geôle;Mazmorra;地下牢獄;지하감옥;地牢;地牢;Verlies;Подземелье;Segrete;Masmorra;The Dungeon;;La geôle;La Mazmorra;地下牢獄;지하감옥;地牢;地牢;Das Verlies;Подземелье;Le segrete;A Masmorra;Below the Red Keep;;Sous le Donjon Rouge;Bajo la Fortaleza Roja;赤の王城の地下;레드 킵 아래;红堡之下;紅堡之下;Unter dem Roten Bergfried;Под Красным замком;Sotto la Fortezza Rossa;Abaixo do Forte Vermelho
raven;79;special;Black raven.;;;;;;;;;;;;;A raven;;Un corbeau;Un cuervo;カラス;큰까마귀;渡鸦;渡鴉;Ein Rabe;Ворон;Un corvo;Um corvo;The Raven;;Le corbeau;El Cuervo;カラス;큰까마귀;渡鸦;渡鴉;Der Rabe;Ворон;Il corvo;O Corvo;;;;;;;;;;;;
rhaegal;106;special;Dragon. Has eyes closed or open.;;;;;;;;;;;;;Rhaegal;;Rhaegal;Rhaegal;レイガル;라에갈;雷哥;雷哥;Rhaegal;Рейгаль;Rhaegal;Rhaegal;The Brother;;Le frère;El Hermano;兄弟;형제;弟弟;弟弟;Der Bruder;Брат;Il fratello;O Irmão;Dragon;;Dragon;Dragón;ドラゴン;드래곤;龙;龍;Drache;Дракон;Drago;Dragão
scorpion;63;special;War machine to shoot ballistas.;;;;;;;;;;;;;Dragon killer;;Tueur de dragon;Matadragones;ドラゴンキラー;드래곤 킬러;弑龙弩;弑龍弩;Drachentöter;Убийца драконов;Sterminatore di Draghi;Caça-dragões;The Scorpion;;Le scorpion;El Escorpión;スコーピオン;스콜피온;蝎子弩;蠍子弩;Der Skorpion;Скорпион;Lo Scorpione;O Escorpião;Scorpion;;Scorpion;Escorpión;スコーピオン;스콜피온;蝎子弩;蠍子弩;Skorpion;Скорпион;Scorpione;Escorpião
three_eyed_raven;45;special;Raven with 3 eyes.;;;;;;;;;;;;;Three-Eyed Raven;;Corneille à trois yeux;Cuervo de tres ojos;三つ目のカラス;세눈박이 큰까마귀;三眼乌鸦;三眼烏鴉;Dreiäugiger Rabe;Трехглазый ворон;Corvo con Tre Occhi;Corvo de Três Olhos;The Three-Eyed Raven;;La corneille à trois yeux;El Cuervo de tres ojos;三つ目のカラス;세눈박이 큰까마귀;三眼乌鸦;三眼烏鴉;Der Dreiäugige Rabe;Трехглазый ворон;Il Corvo con Tre Occhi;O Corvo de Três Olhos;;;;;;;;;;;;
throne;26;special;Iron Throne.;;;;;;;;;;;;;Iron Throne;;Trône de Fer;Trono de Hierro;鉄の玉座;철왕좌;铁王座;鐵王座;Eiserner Thron;Железный трон;Trono di Spade;Trono de Ferro;The Iron Throne;;Le Trône de Fer;El Trono de Hierro;鉄の玉座;철왕좌;铁王座;鐵王座;Der Eiserne Thron;Железный трон;Il Trono di Spade;O Trono de Ferro;;;;;;;;;;;;
weirwood;107;special;Weirwood tree. Appears at the end of ends.;;;;;;;;;;;;;The Weirwood;;Barral;El Arciano;ウィアウッド;위어우드;鱼梁木;魚梁木;Der Wehrholzbaum;Чардрево;L'Albero-Diga;A Weirwood;Weirwood;;Barral;Arciano;ウィアウッド;위어우드;鱼梁木;魚梁木;Wehrholzbaum;Чардрево;Albero-Diga;Weirwood;;;;;;;;;;;;
white_raven;80;special;White raven.;;;;;;;;;;;;;A white raven;;Un corbeau blanc;Un cuervo blanco;白カラス;흰색 큰까마귀;白鸦;白鴉;Ein weißer Rabe;Белый ворон;Un corvo bianco;Um corvo branco;The White Raven;;Le corbeau blanc;El Cuervo Blanco;白カラス;흰색 큰까마귀;白鸦;白鴉;Der Weiße Rabe;Белый ворон;Il corvo bianco;O Corvo Branco;;;;;;;;;;;;
wolf;60;special;Direwolf, Nymeria.;;;;;;;;;;;;;Nymeria;;Nymeria;Nymeria;ナイメリア;니메리아;娜梅莉亚;娜梅莉亞;Nymeria;Нимерия;Nymeria;Nymeria;The Direwolf;;Le loup géant;La Loba Huargo;大狼;다이어울프;冰原狼;冰原狼;Der Schattenwolf;Лютоволк;Il Metalupo;A Loba Gigante;Direwolf;;Loup géant;Loba Huargo;大狼;다이어울프;冰原狼;冰原狼;Schattenwolf;Лютоволк;Metalupo;Loba Gigante
antagonist;64;system;Characters and houses can be considered antagonists (when they go to war against you). tully&antagonist means "Representative of house Tully if he's at war with you". tyrell!antagonist means "Representative of house Tyrell if she's not at war with you".;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
anyone;19;system;Any individual or generic character.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
commander;104;system;Male. Special ruler that appears only once when you've unlocked every ruler.;;;;;;;;;;;;;Orgo Magnar;;Orgo Magnar;Magnar Orgo;オルゴ・マグナー;오르고 마그나;奥尔戈·马格拿;奧爾戈·馬格拿;Orgo Magnar;Орго Магнар;Orgo Magnar;Orgo Magnar;;;;;;;;;;;;;Lord Commander;;Lord Commandant;Lord Comandante;総帥;사령관;总司令大人;總司令大人;Lord Kommandant;Лорд-командующий;Lord Comandante;Lorde Comandante
end;18;system;Death cards.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
female;29;system;System tag.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
male;28;system;System tag.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
military;99;system;Male. Any individual or generic that has the tag "military". Soldier, Kingsguard, Crow, Knight, Sellsword, Lannister soldier.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
noble;41;system;Male or female. Any individual or generic that has the tag "noble". Tyrell, Tully, Stark, Lannister, Nobleman, Arryn.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
people;70;system;Male or female. Any individual or generic that has the tag "people". Varys, commoner_male, commoner_female, blacksmith, handmaiden, pyromancer, courtesan.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pious;81;system;Male or female. Any individual or generic that has the tag "pious". Septon, septa, militant, high_septon.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reigning;37;system;Male or female. Current ruler. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
