id;en;tu;fr;es;jp;ko;sc;tc;de;ru;it;bp;
;Eris;Eris;Françoise;Francisca;エリス;에리스;尔里斯;尔里斯;Hildegard;Эрис;;Éris;
;Diana;Diana;Diana;Diana;ダイアナ;다이애나;戴安娜;戴安娜;Diana;Диана;;Diana;
;Rose;Rose;Rose;Rosa;ローズ;로즈;萝丝;蘿絲;Rose;Роуз;Rosa;Rosa;
;Orla;Orla;Bella;Bella;オーラ;오를라;欧拉;歐拉;Orla;Орла;Orsola;Orla;
;Lena;Lena;Léna;Lena;レナ;레나;莉娜;莉娜;Lena;Лена;Maddalena;Lena;
handmaid2_generic;The Courtesan;Cariye;La Dame de compagnie;La Cortesana;貴婦人;창녀;歌妓;歌妓;Die Kurtisane;Куртизанка;La Cortigiana;A Cortesã;
doctor;Mistress <...>;Doktor <...>;Apothicaire <...>;Doctora <...>;<...>医師;<...> 여사;<...>女士;<...>女士;Meisterin <...>;Госпожа <...>;Dottoressa <...>;Doutora <...>;
;Pleiades;Pleiades;Pléiades;Pléyades;プレアデス;플레아데스;普勒阿德丝;普勒阿德絲;Plejade;Плеяда;Pleiadi;Plêiades;
;Mnemonia;Mnemonia;Mnémonia;Mnemonia;ニモニック;므네모니아;尼莫尼娅;尼莫尼娅;Mnemonia;Мнемония;;Mnemônia;
;Hymnia;Hymnia;Hymnia;Hymnia;ヒムニア;힘니아;海摩尼娅;海摩尼娅;Hymnia;Гимния;Imnia;Hímnia;
;Asclepia;Asclepia;Zélinda;Asclepia;アスクレピア;아스클레피아;阿斯克勒庇娅;阿斯克勒庇娅;Asklepia;Асклепия;;Asclépia;
;Coagula;Coagula;Coagula;Coágula;コアギュラ;코아굴라;柯姑拉;柯姑拉;Coagula;Коагула;;Coágula;
;Ferrarius;Ferrarius;Ferrarius;Ferrarius;フェラリウス;페르아뤼스;芙拉丽思;芙拉麗思;Ferrarius;Феррария;;Ferrarius;
;Posadas;Posadas;Posadas;Posadas;ポサーダス;포사다스;波萨达斯;波薩達斯;Posadas;Посада;;Posadas;
doctor_generic;The Doctor;Doktor;L'Apothicaire;La Doctora;医師;의사;医生;醫生;Die Doktorin;Врачевательница;La Dottoressa;A Médica;
owl;Duel Master;Düello Efendisi;Maîtresse de duel;Maestro de Duelo;決闘場の主;결투사;决斗大师;決鬥大師;Duellmeister;Распорядитель дуэлей;Maestro dei duelli;Mestre dos Duelos;
owl_generic;The Owl;Baykuş;La Chouette;El Búho;フクロウ;부엉이;猫头鹰;貓頭鷹;Die Eule;Сова;Il Gufo;A Coruja;
king;King <male_names>;Kral <male_names>;Roi <male_names>;Rey <male_names>;<male_names>王;<male_names> 왕;国王<male_names>;國王<male_names>;König <male_names>;Король <male_names>;Re <male_names>;Rei <male_names>;
king_generic;The King;Kral;Le Roi;El Rey;王;왕;国王;國王;Der König;Король;Il Re;O Rei;
snake;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;
;Bloodraynius;Bloodraynius;Bloodraynius;Sanguijuelo;ブラッドレイニウス;블러드레이너스;血之钳;血之鉗;Bloodraynius;Кровоток;Succhiasanguus;Bloodraynius;
;Darkoman;Darkoman;Darkoman;Oscurecio;ダークオマーン;다코만;暗之子;暗之子;Darkoman;Темнопут;Oscuruomo;Darkoman;
;Gratsby;Gratsby;Gratsby;Granpedo;グラッツビー;그라츠비;盖世宝;蓋世寶;Gratsby;Грейтсби;;Gratsby;
snake_generic;The Snake;Yılan;Le Serpent;La Serpiente;ヘビ;뱀;蛇;蛇;Die Schlange;Змей;Il Serpente;A Cobra;
effects;<i>Item added to your bag.</i>;<i>Eşya çantana eklendi.</i>;<i>Objet ajouté à votre sac.</i>;<i>Objeto añadido a tu cesta.</i>;<i>かばんにアイテムが追加！</i>;<i>아이템이 가방에 추가되었습니다.</i>;<i>物品已放入背包</i>;<i>物品已放入背包</i>;<i>Gegenstand wurde Eurer Tasche hinzugefügt.</i>;<i>Предмет отправлен в инвентарь.</i>;<i>Oggetto aggiunto alla tua borsa.</i>;<i>Item adicionado à sua bolsa.</i>;
effects_move;<i>This will have effect every second.</i>;<i>Bunun her saniye etkisi olacak.</i>;<i>L'effet sera pris en compte chaque seconde.</i>;<i>Esto afectará cada segundo.</i>;<i>毎秒、効果が発生！</i>;<i>매 순간마다 영향을 끼칠 것입니다.</i>;<i>每秒持续生效</i>;<i>每秒持續生效</i>;<i>Dies wirkt sich jede Sekunde aus.</i>;<i>Эффект проявляется каждую секунду.</i>;<i>Avrà effetto ogni secondo.</i>;<i>Isto terá efeito a cada segundo.</i>;
princess;Princess <...>;Prenses <...>;Princesse <...>;Princesa <...>;<...>王女;<...> 공주;<...>公主;<...>公主;Prinzessin <...>;Принцесса <...>;Principessa <...>;Princesa <...>;
;Lourdes;Lourdes;Lourdes;Lourdes;ルードレス;루르드;露尔德;露爾德;Lourdes;Лурдес;;Lourdes;
;Rosegold;Rosegold;Rosegold;Rosaura;ローズゴールド;로즈골드;金蔷薇;金薔薇;Annerose;Златороза;Rosamunda;Rosegold;
;Raspberry;Raspberry;Framboise;Frambuesa;ラズベリー;라즈베리;拉斯贝尔;拉斯貝爾;Chantal;Малиния;;Raspberry;
;Paloma;Paloma;Paloma;Paloma;パロマ;팔로마;帕洛玛;帕洛瑪;Paloma;Палома;;Paloma;
;Saffron;Saffron;Safran;Azafrán;サフロン;사프란;赛芙蓉;賽芙蓉;Brigitte;Шафрани;;Saffron;
princess_generic;The Princess;Prenses;La Princesse;La Princesa;王女;공주;公主;公主;Die Prinzessin;Принцесса;La Principessa;A Princesa;
piratel;<...> the Pirate;Korsan <...>;<...> la Pirate;<...> la Pirata;海賊<...>;해적 <...>;海盗<...>;海盜<...>;<...> die Piratin;Пиратка <...>;<...> la Pirata;<...>, a Pirata;
;Zeal;Zeal;Zéal;Fococio;ジール;질;热火;熱火;Zeal;Искра;;Zeal;
;Loon;Loon;Loon;Somormujo;ルーン;룬;笨笨;笨笨;Loon;Полумна;;Loon;
;Nettle;Nettle;Nettle;Ortiga;ネトル;네틀;暴脾气;暴脾氣;Nessel;Колючка;;Nettle;
;Pasha;Pasha;Pacha;Pisha;パシャ;파샤;帕希雅;帕希雅;Pasja;Пенька;;Pasha;
;Ellefé;Ellefé;Saskia;Elefé;エルフェ;엘레페;艾利沸;艾利沸;Ellefé;Экспи;;Ellefé;
piratel_generic;The Pirate;Korsan;La Pirate;La Pirata;海賊;점쟁이;预言家;預言家;Die Piratin;Пиратка;La Piratessa;A Pirata;
father;Daddy;Baba;Papa;Papá;父;아빠;爸爸;爸爸;Papa;Папочка;Papino;Papai;
father_generic;The Father;Baba;Le Père;El Padre;父;아버지;父亲;父親;Der Vater;Отец;Il Padre;O Pai;
chamberlain;<...> de Croquille;<...> de Croquille;<...> de Croquille;<...> de la Croquetilla;<...>・デ・コキーユ;<...> 드 크로퀴;<...>大人;<...>大人;<...> de Croquille;<...> де Крокий;;<...> de Croquille;
;Arcturus;Arcturus;Wilfred;Arturus;アクトゥルス;악튜러스;阿克图斯;阿克圖斯;Arcturus;Арктур;;Arcturus;
;Florius;Florius;Florius;Florio;フロリウス;플로리우스;副罗林斯;副羅林斯;Florius;Флориус;;Florius;
;Stefanio;Stefanio;Stefanio;Estéfano;ステファーニョ;스테파니오;斯特凡诺;斯特凡諾;Stefanio;Стефанио;;Stefânio;
;Bartholomew;Bartholomew;Bartholomé;Bartolomé;バーソロミュー;바솔로뮤;巴塞洛缪;巴薩羅繆;Bartholomäus;Варфоломей;Bartolomeo;Bartolomeu;
chamberlain_generic;The Chamberlain;Kahya;Le Chambellan;El Chambelán;執事;시종;宫廷大臣;宮廷大臣;Der Kämmerer;Казначей;Il Ciambellano;O Camareiro;
handmaid;Handmaid <...>;Hizmetçi <...>;Demoiselle <...>;Doncella <...>;侍女<...>;시녀 <...>;侍女<...>;侍女<...>;Zofe <...>;Служанка <...>;Servitrice <...>;Aia <...>;
;Alice;Alice;Suzanne;Alicia;アリス;앨리스;爱丽丝;愛麗絲;Alice;Алиса;;Alice;
;Simone;Simone;Simone;Simona;シモーネ;시모네;西蒙妮;西蒙妮;Simone;Симона;Simona;Simone;
;Margaret;Margaret;Margaret;Margarita;マーガレット;마가렛;玛格莱特;瑪格麗特;Margarethe;Маргарет;Mara;Margarida;
;Grace;Grace;Grace;Gracia;グレース;그레이스;格蕾丝;葛蕾絲;Gracia;Грейс;Grazia;Graça;
;Maud;Maud;Maud;Mona;モード;마우드;茉德;茉德;Mathilde;Мод;;Maud;
;Sue;Sue;Sue;Susi;スー;수;苏;蘇;Susanne;Сью;Susanna;Sue;
handmaid_generic;The Lady;Hanım;La Demoiselle de compagnie;La Doncella;夫人;귀부인;夫人;夫人;Die Dame;Леди;La Lady;A Dama;
tutor;Master <last_names>;Usta <last_names>;Maître <last_names>;Maestro <last_names>;<last_names>師;마스터 <last_names>;<last_names>大师;<last_names>大師;Meister <last_names>;Учитель <last_names>;Maestro <last_names>;Mestre <last_names>;
tutor_generic;The Tutor;Öğretmen;Le Tuteur;El Tutor;師範;가정교사;导师;導師;Der Hauslehrer;Гувернер;Il Precettore;O Tutor;
nobleman;Sir <male_names>;Sör <male_names>;Sire <male_names>;Señor <male_names>;<male_names>卿;<male_names> 경;<male_names>先生;<male_names>先生;Sir <male_names>;Сэр <male_names>;;Sir <male_names>;
nobleman_generic;The Nobleman;Soylu;Le Noble;El Noble;貴族;귀족;贵族;貴族;Der Adlige;Дворянин;Il Nobile;O Nobre;
bastard;Viscount <male_names>;Vikont <male_names>;Vicomte <male_names>;Vizconde <male_names>;<male_names>子爵;<male_names> 자작;<male_names>子爵;<male_names>子爵;Burggraf <male_names>;Виконт <male_names>;Visconte <male_names>;Visconde <male_names>;
bastard_generic;The Viscount;Vikont;Le Vicomte;El Vizconde;子爵;자작;子爵;子爵;Der Burggraf;Виконт;Il Visconte;O Visconde;
hunter;<male_names> the Swift;Çevik <male_names>;<male_names> le Vif;<male_names> el Raudo;疾足の<male_names>;날쌘 <male_names>;捕猎能手<male_names>;捕獵高手<male_names>;<male_names> der Flinke;<male_names> Стремительный;<male_names> lo Scaltro;<male_names>, o Veloz;
hunter_generic;The Huntsman;Avcı;Le Chasseur;El Cazador;狩人;사냥꾼;猎人;獵人;Der Jäger;Егерь;Il Cacciatore;O Caçador;
witch;Sister <...>;Kız kardeş <...>;Mère <...>;Hermana <...>;シスター・<...>;<...> 수녀;<...>姐妹;<...>姐妹;Schwester <...>;Сестра <...>;Sorella <...>;Irmã <...>;
;Vym;Vym;Vym;Vivi;ヴィム;바임;唯米;唯米;Vym;Вим;;Vym;
;Wylla;Wylla;Wylla;Wini;ワイラ;윌라;维拉;維拉;Wylla;Уайла;;Wylla;
;Aenella;Aenella;Zita;Anita;アエネラ;에이넬라;安妮拉;安妮拉;Aenella;Энелла;;Aenella;
;Yulle;Yulle;Yulle;Yuca;ユール;율;耶勒;耶勒;Yulle;Юлли;;Yulle;
witch_generic;The Witch;Cadı;La Sorcière;La Bruja;魔女;마녀;女巫;女巫;Die Hexe;Ведьма;La Strega;A Bruxa;
nun;Sister <female_names>;Kız kardeş <female_names>;Sœur <female_names>;Sor <female_names>;シスター・<female_names>;<female_names> 수녀;<female_names>修女;<female_names>修女;Schwester <female_names>;Сестра <female_names>;Sorella <female_names>;Irmã <female_names>;
nun_generic;The Nun;Rahibe;La Nonne;La Monja;修道女;수녀;修女;修女;Die Nonne;Монахиня;La Suora;A Freira;
cow;Daisy;Daisy;Daisy;Clarabela;デイジー;데이지;黛西;黛西;Berta;Дейзи;Daisy;Mimosa;
cow_generic;The Cow;İnek;La Vache;La Vaca;ウシ;소;奶牛;乳牛;Die Kuh;Корова;La Mucca;A Vaca;
judge;Justice <male_names>;Adalet <male_names>;Juge <male_names>;Juez <male_names>;<male_names>裁判官;<male_names> 판사;公正的<male_names>;公正的<male_names>;Richter <male_names>;Судья <male_names>;<male_names> il Giusto;Justiceiro <male_names>;
judge_generic;The Judge;Yargıç;Le Juge;El Juez;裁判官;판사;法官;法官;Der Richter;Судья;Il Giudice;O Juiz;
lady1;Baroness of <places>;<places> Baronesi;Baronne de <places>;Baronesa de <places>;<places>の男爵夫人;<places> 남작부인;<places>男爵夫人;<places>男爵夫人;Baronin von <places>;Баронесса <places>;Baronessa di <places>;Baronesa de <places>;
lady1_generic;The Baroness;Barones;La Baronne;La Baronesa;男爵夫人;남작부인;男爵夫人;男爵夫人;Die Baronin;Баронесса;La Baronessa;A Baronesa;
lady;Lady <female_names>;<female_names> Hanım;Dame <female_names>;Doña <female_names>;<female_names>夫人;<female_names> 귀부인;<female_names>夫人;<female_names>夫人;Dame <female_names>;Леди <female_names>;;Senhorita <female_names>;
lady_generic;The Noblewoman;Soylu Kadın;La Noble;La Dama;貴族夫人;귀부인;贵族夫人;貴族夫人;Die Adlige;Дворянка;La Nobildonna;A Nobre;
perle_generic;The Other Cat;Diğer Kedi;L'autre Chat;El Otro Gato;ネコ;다른 고양이;另一只猫;另一隻貓;Die andere Katze;Другая кошка;L'Altro Gatto;A Outra Gata;
perle;Perle;Perle;Perle;Perla;パーレ;페를;喵喵;喵喵;Perle;Перл;Perla;Perla;
dog_generic;The Royal Dog;Kraliyet Köpeği;Le Chien Royal;El Perro Real;城のイヌ;궁정견;宫廷御犬;皇家犬;Der Schlosshund;Королевский пес;Il Cane reale;O Cão Real;
dog;Bernard;Bernard;Bernard;Bernardo;バーナード;버나드;伯纳德;伯納德;Bernard;Бернард;Bernardo;Bernardo;
cat_generic;The Royal Cat;Kraliyet Kedisi;Le Chat Royal;La Gata Real;城のネコ;궁정묘;宫廷御猫;皇家貓;Der Schlosskater;Королевская кошка;Il Gatto reale;O Gato Real;
cat;Rex;Rex;Rex;Regia;レックス;렉스;雷克斯;雷克斯;Thomas;Рекси;Rex;Rex;
farmer_generic;The Farmer;Çiftçi;Le Paysan;El Campesino;農民;농부;农民;農民;Der Bauer;Фермер;Il Contadino;O Fazendeiro;
farmer;Pug;Pug;Pug;Cerco;パグ;퍼그;巴哥;巴哥;Pug;Паг;Fido;Pug;
prince_generic;The Prince;Prens;Le Prince;El Príncipe;王子;왕자;王子;王子;Der Prinz;Принц;Il Principe;O Príncipe;
prince;Prince <...>;Prens <...>;Prince <...>;Príncipe <...>;<...>王子;<...> 왕자;<...>王子;<...>王子;Prinz <...>;Принц <...>;Principe <...>;Príncipe <...>;
;Judson;Judson;Judson;Juli;ジャドソン;저슨;加德森;加德森;Reimant;Джадсон;;Judson;
;Deanwell;Deanwell;Deanwell;Dinamito;ディーンウェル;딘웰;迪恩威尔;迪恩威爾;Bodor;Динвелл;;Deanwell;
;Iainston;Iainston;Stanislas;Yonilo;レインストン;이아인스톤;莱茵斯顿;萊茵斯頓;Gustov;Иенстон;;Iainston;
;Chaseton;Chaseton;Chaseton;Cazatón;チェイストン;체이스턴;柴斯顿;柴斯頓;Kasamir;Чейзтон;;Chaseton;
;Landstand;Landstand;Landstand;Terronio;ランドスタンド;랜드스탠드;兰斯坦德;蘭斯坦德;Libericht;Лэндстэнд;;Landstand;
merchant_generic;The Merchant;Tüccar;La Marchande;La Mercader;商人;상인;商人;商人;Die Händlerin;Купчиха;La Mercante;A Comerciante;
merchant;Master <female_names>;Usta <female_names>;<female_names> la Marchande;Maese;<female_names>師;마스터 <female_names>;<female_names>老板;<female_names>老闆;Kauffrau <female_names>;Госпожа <female_names>;Donna <female_names>;Mestra <female_names>;
cossack_generic;The Northlander;Kuzeyli;La Nordique;La Norteña;北方人;북방인;北方领主;北方領主;Die Nordländerin;Северянка;La Donna del Nord;A Nortenha;
cossack;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;
;Faye;Faye;Faye;Falla;フェイ;페이;法耶;法耶;Hildrun;Фэй;;Faye;
;Daria;Daria;Daria;Daria;ダリア;다리아;达丽雅;達麗雅;Daria;Дарья;;Daria;
;Vera;Vera;Véra;Vera;ヴェラ;베라;薇拉;薇拉;Vera;Вера;;Vera;
;Juno;Juno;Junon;Juno;ジュノ;유노;朱诺;朱諾;Juno;Юнона;Giunone;Juno;
;Cerys;Cerys;Cérys;Cerita;セリス;세리스;赛瑞斯;賽瑞斯;Cerys;Черис;;Cerys;
;Palla;Palla;Palla;Paella;パラ;팔라;帕拉;帕拉;Palla;Палла;;Palla;
doe_generic;The Doe;Geyik;La Biche;La Cierva;シカ;암사슴;母鹿;母鹿;Das Reh;Лань;La Cerva;A Corça;
doe;Lady of the Wood;Orman Hanımı;Dame de la Forêt;Dama del Bosque;スウィーティ;스위티;甜甜;甜心;Herrin des Waldes;Леди Леса;Signora del bosco;Senhora do Bosque;
mirror_generic;The Mirror;Ayna;Le Miroir;El Espejo;鏡;거울;镜子;鏡子;Der Spiegel;Зеркало;Lo Specchio;O Espelho;
mirror;Your mirror;Senin aynan;Votre miroir;Vuestro Espejo;鏡;나의 거울;你的镜子;你的鏡子;Euer Spiegel;Ваше зеркало;Il vostro specchio;Seu espelho;
ravenna_generic;The Isle Queen;Ada Kraliçesi;La Reine de l'Île;La Reina Isleña;島の王妃;섬의 여왕;岛国王后;島國王后;Die Inselkönigin;Королева островов;La Regina dell'isola;A Rainha da Ilha;
ravenna;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;
;Ravenna;Ravenna;Ravenna;Rabinia;ラヴェナ;라베나;赖文娜;拉芬納;Ravenna;Равенна;;Ravenna;
;Ligia;Ligia;Ligia;Ligia;リジア;리기아;丽姬娅;莉希亞;Ligia;Лигия;;Lígia;
;Aurelia;Aurelia;Sacha;Sacha;オーレリア;오렐리아;奥莱利亚;奧雷利婭;Aurelia;Аурелия;;Aurélia;
;Scorpia;Scorpia;Scorpia;Escorpia;スコーピア;스콜피아;蛇蝎女;蛇蠍女;Scorpia;Скорпия;;Escórpia;
;Octavia;Octavia;Elsa;Elsa;オクタヴィア;옥타비아;奥克塔维亚;奧克塔維亞;Octavia;Октавия;Ottavia;Otávia;
;Severina;Severina;Palmélia;Severina;セヴェリナ;서버리나;塞韦里娜;瑟弗瑞娜;Severina;Северина;;Severina;
explorer_generic;The Explorer;Kaşif;L'Explorateur;El Explorador;探検家;탐험가;探险家;探險家;Der Entdecker;Путешественник;L'Esploratore;O Explorador;
explorer;Sir <last_names>;Sör <last_names>;Sire <last_names>;Señor <last_names>;<last_names>氏;<last_names> 경;<last_names>先生;<last_names>先生;Sir <last_names>;Сэр <last_names>;Sir <last_names>;Sir <last_names>;
wheel_generic;The Wheel;Çark;La Roue;La Rueda;運命の輪;바퀴;轮;輪;Das Rad;Колесо;La Ruota;A Roda;
wheel;Your fate;Kaderin;Votre destin;Vuestro Destino;女王の運命;나의 운명;你的命运;你的命運;Euer Schicksal;Ваша судьба;Il vostro destino;Seu destino;
maze_generic;The Maze;Labirent;Le Labyrinthe;El Laberinto;迷路;미로;迷宫;迷宮;Das Labyrinth;Лабиринт;Il Labirinto;O Labirinto;
maze;Verdant garden;Yeşillik bahçesi;Jardin verdoyant;Laberinto;緑の庭園;신록의 정원;翠园;翠園;Grüner Garten;Зеленый сад;Giardino lussureggiante;Jardim verdejante;
banker_generic;The Banker;Bankacı;Le Banquier;El Banquero;出納官;은행가;银行家;銀行家;Der Bankier;Банкир;Il Banchiere;O Banqueiro;
banker;Lord <...>;Lord <...>;Messire <...>;Don <...>;<...>公;<...> 공;<...>大人;<...>大人;Herr <...>;Лорд <...>;Lord <...>;Lorde <...>;
;Money;Para;Fortuné;Guita;マネー;머니;钱满怀;錢滿懷;Zasteroff;Баблоу;Denaro;Dinheiro;
;Kapital;Kapital;Kapital;Capital;カピタル;카피탈;金满钵;金滿缽;Capitalo;Капитал;Kapitale;Kapital;
;Coinage;Para basma;Delamonnaie;Cuño;コイネッジ;코이나지;财万贯;財萬貫;Münzer;Монетти;Conio;Cunhagem;
;Fünd;Sermaye;Duprêt;Fondo;ファンド;퓐드;郝多钱;郝多錢;von Reichenstein;Фонд;Föndi;Fündos;
general_generic;The General;General;Le Général;El General;将軍;장군;将军;將軍;Der General;Генерал;Il Generale;O General;
general;General <...>;General <...>;Général <...>;General <...>;<...>将軍;<...> 장군;<...>将军;<...>將軍;General <...>;Генерал <...>;Generale <...>;General <...>;
;Pollon;Pollon;Pollon;Pollón;ポロン;폴론;珀隆;珀隆;Pollon;Поллон;;Pollon;
;Vell;Vell;Vell;Velo;ヴェル;벨;威尔;威爾;Vell;Велл;;Vell;
;Henge;Henge;Polemos;Borde;ヘンゲ;헤네지;亨格;亨格;Henge;Хендж;;Henge;
;Stein;Stein;Stein;Mancha;ステイン;스테인;斯坦;斯坦;Stein;Штайн;;Stein;
;Zecht;Zecht;Zecht;Ceporro;ゼヒト;젝트;泽池;澤池;Zecht;Зехт;;Zecht;
;Fonsi;Fonsi;Fonsi;Fonsi;フォンシ;폰사이;冯夕;馮夕;Fonsi;Фонси;;Fonsi;
future_generic;The Survey;Araştırma;L'Étude de marché;La Encuesta;サーベイ;탐사관;概览;調查;Die Studie;Прогноз;La Valutazione;A Avaliação;
future;? ? ?;? ? ?;? ? ?;? ? ?;？？？;? ? ?;？？？;？？？;? ? ?;? ? ?;? ? ?;? ? ?;
priestess_generic;Acolyte;Sofu;La Disciple;La Discípula;侍祭;여사제;侍祭;侍祭;Akolythin;Жрица;Accolita;Acólita;
priestess;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;<...>;
;Nimue;Nimue;Nimue;Nimuda;ニムエ;니무에;尼缪;尼繆;Nimue;Нимуэ;;Nimue;
;Morgana;Morgana;Morgana;Morgana;モルガナ;모르가나;莫甘娜;莫甘娜;Morgana;Моргана;;Morgana;
;Lys;Lys;Lys;Lisi;リース;리스;利斯;利斯;Lys;Лисс;;Lys;
;Róisín;Róisín;Róisín;Rosiña;ロシーン;로이신;罗伊;羅伊;Róisín;Рошин;;Róisín;
;Wulfa;Wulfa;Wulfa;Golfa;ウルファ;울파;沃尔芙;沃爾芙;Wulfa;Вульфа;;Wulfa;
monument_generic;The Capital;Başkent;La Capitale;La Capital;王都;수도;首都;首都;Die Hauptstadt;Столица;La Capitale;A Capital;
monument;Capital city;Başkent;Cité Royale;Ciudad capital;王都;수도;首都;首都;Hauptstadt;Столица;Capitale;Cidade capital;
minstrel_generic;The Minstrel;Ozan;Le Ménestrel;El Juglar;吟遊詩人;음유시인;吟游诗人;吟游詩人;Der Minnesänger;Менестрель;Il Menestrello;O Trovador;
minstrel;<male_names> <last_names>;<male_names> <last_names>;<male_names> <last_names>;<male_names> <last_names>;<male_names>・<last_names>;<male_names> <last_names>;<male_names>·<last_names>;<male_names>·<last_names>;<male_names> <last_names>;<male_names> <last_names>;<male_names> <last_names>;<male_names> <last_names>;
places;Coterbury;Coterbury;Coterbury;Costaboruña;コータベリー;코터버리;科特博雷;科特博雷;Coterbury;Котерберийская;;Coterbury;
;Randon;Randon;Randon;Azar;ランドン;랜돈;兰登;蘭登;Randon;Рэндонская;;Randon;
;Angeli;Angeli;Dangeli;Angelunos;アンジェリ;안젤리;昂格里;昂格裡;Angeli;Ангелийская;;Angeli;
;Portune;Portune;Portune;Portiño;ポーチュン;포튠;普洱图;普洱圖;Portune;Портунская;;Portune;
;Talman;Talman;Talman;Talmán;タルマン;탈만;泰勒曼;泰勒曼;Talman;Талманская;;Talman;
;Rigsbourg;Rigsbourg;Rigsbourg;Ricoloporto;リグスバーグ;릭스부르그;云斯堡;雲斯堡;Rigsburg;Ригсбургская;;Rigsburgo;
;Alamain;Alamain;Dalamain;Alamano;アラマイン;알라마인;阿莱曼因;阿萊曼因;Alamain;Алемейнская;;Alamain;
;Port Sead;Port Sead;Port Sead;Puertosed;ポートシード;포트 시드;宝特西德;寶特西德;Port Sead;Порт-Саидская;;Port Sead;
;Falisby;Falisby;Falisby;Falumbra;ファリスビー;팔리스비;法里斯本;法里斯本;Falisby;Фалисбийская;;Falisby;
;Reeds;Reeds;Reeds;Ripio;リーズ;리즈;里德思;裡德思;Reeds;Ридская;;Reeds;
;Valambun;Valambun;Valambun;Balaculo;ヴァランバン;발람번;蔚蓝堡;蔚藍堡;Valambun;Валамбунская;;Valambun;
;Grevoh;Grevoh;Grevoh;Grivio;グレヴォ;그레보;格雷沃;格雷沃;Grevoh;Гревоская;;Grevoh;
;Ostwald;Ostwald;Dostwald;Osvaldo;オストワルド;오츠왈드;奥斯瓦尔德;奧斯維德;Ostwald;Оствальдская;;Ostwald;
male_names;Ceedrick;Ceedrick;Ceedrick;Cedric;シードリック;세드릭;肯德里克;肯德里克;Cedrick;Седрик;;Ceedrick;
;Gotfrond;Gotfrond;Gotfrond;Godofredo;ゴットフロント;가츠프론드;高德弗朗德;高德弗朗德;Gotfrund;Готфронд;;Gotfrond;
;Albort;Albort;Dalbort;Alberto;アルボート;알보르트;阿尔伯特;阿爾伯特;Albort;Альборт;;Albort;
;Angrus;Angrus;Pangrus;Agrio;アングルス;앙그루스;昂格鲁斯;昂格魯斯;Angrus;Ангрус;;Angrus;
;Drewvius;Drewvius;Drewvius;Driado;ドルヴィウス;드루비스;德鲁维斯;德魯維斯;Drevius;Дрювиус;;Drewvius;
;Harricote;Harricote;Charricote;Jarrito;ハリコーテ;해리코트;哈里克特;哈裡克特;Harricot;Харрикот;;Harricote;
;Derkston;Derkston;Derkston;Depiedra;ダークストン;더크스톤;德克斯顿;德克斯頓;Derkston;Деркстон;;Derkston;
;Whacksbourg;Whacksbourg;Whacksbourg;Wacamol;ワックスバーグ;왝스부르그;怀克斯博格;懷克斯柏格;Waldomar;Ваксбург;;Whacksburgo;
;Cowlton;Cowlton;Cowlton;Vacunón;コールトン;콜튼;考尔顿;考爾頓;Colton;Коултон;;Cowlton;
;Kristobal;Kristobal;Kristobal;Cristóbal;クリストバル;크리스토발;克里斯特保;克裡斯特保;Kristobal;Кристобаль;;Kristóbal;
;Patrichor;Patrichor;Patrichor;Patricio;パトリキュア;파트리콜;帕特里克尔;派翠克爾;Patrichor;Патрихор;;Patrichor;
;Thomulan;Thomulan;Thomulan;Toguapo;ソームラン;토물란;特姆拉;特姆拉;Thomulan;Томулан;;Thomulan;
;Johnsoon;Johnsoon;Johnsoon;Josélez;ジョンソーン;존순;约翰速;約翰速;Johnsun;Джонсун;;Johnsoon;
;Hankerton;Hankerton;Tankerton;Arcólez;ハンカートン;행커톤;汉克顿;漢克頓;Hankerton;Хэнкертон;;Hankerton;
;Billiam;Billiam;Billiam;Billante;ビリアム;빌리암;比尔兰姆;比爾蘭姆;Billiam;Бильям;;Billiam;
last_names;Vincenze;Vincenze;Vincenze;Vicente;ヴィンチェンゾ;빈센제;文森斯;文森斯;Vincenze;Винченце;;Vincenze;
;Orleans;Orleans;Lajoye;Lajoya;オーリアンズ;오를레앙;奥尔林斯;奧爾林斯;Orleans;Орлеанс;;Orleans;
;Blythe ;Blythe;Blythe;Blito;ブライス;블라이드;布莱泽;布萊澤;Blythe;Блайт ; ;Blythe;
;de Rous;de Rous;de Rous;de Rojo;デ・ロース;드 루스;德鲁斯;德魯斯;de Rous;де Ру;;de Rous;
;Browning;Browning;Browning;Magdaleno;ブローニング;브라우닝;布朗宁;白朗寧;Brauning;Браунинг;;Browning;
;Merceron;Merceron;Merceron;Mercerón;マーセロン;메르세론;梅塞隆;梅塞隆;Merceron;Мерсерон;;Merceron;
;Rappaport;Rappaport;Rappaport;Pestiño;ラッパポート;라파포트;莱帕波特;萊帕波特;Rappaport;Раппапорт;;Rappaport;
;Courtenay;Courtenay;Courtenay;Cortenope;コーテナイ;코테나이;科特尼亚;科特尼亞;Courtenay;Куртенэ;;Courtenay;
