name;id;bearer;question;tu_question;fr_question;es_question;jp_question;ko_question;sc_question;tc_question;de_question;ru_question;it_question;bp_question;override_yes;tu_override_yes;fr_override_yes;es_override_yes;jp_override_yes;ko_override_yes;sc_override_yes;tc_override_yes;de_override_yes;ru_override_yes;it_override_yes;bp_override_yes;answer_yes;tu_answer_yes;fr_answer_yes;es_answer_yes;jp_answer_yes;ko_answer_yes;sc_answer_yes;tc_answer_yes;de_answer_yes;ru_answer_yes;it_answer_yes;bp_answer_yes;override_no;tu_override_no;fr_override_no;es_override_no;jp_override_no;ko_override_no;sc_override_no;tc_override_no;de_override_no;ru_override_no;it_override_no;bp_override_no;answer_no;tu_answer_no;fr_answer_no;es_answer_no;jp_answer_no;ko_answer_no;sc_answer_no;tc_answer_no;de_answer_no;ru_answer_no;it_answer_no;bp_answer_no;vide
;938;chamberlain;Wonderful news, my lady! Your son the prince has returned to the palace! He asks if you have time for a visit.;Harika haberlerim var, hanımım! Oğlunuz prens saraya döndü! Ziyaret için vaktiniz var mı soruyor.;Bonne nouvelle, Majesté ! Votre fils le prince est de retour au Palais ! Il demande si vous pouvez le recevoir.;¡Fantásticas noticias, Señora! ¡Su hijo el Príncipe ha regresado a palacio! Pregunta si tenéis tiempo para una visita.;お喜びください、わが女王よ！+王子様が城へ戻られました！+今すぐお会いになられますか？;좋은 소식입니다, 여왕님! 왕자님께서 왕성으로 돌아오셨습니다! 잠시 만나주실 수 있냐 하더군요.;王子殿下已经回到了皇宫！+殿下问您是否有时间见见他;王子殿下已經回到了皇宮！+殿下問您是否有時間見見他;Wunderbare Neuigkeiten, Herrin! Euer Sohn, der Prinz, ist wieder hier! Er fragt, ob Ihr Zeit für einen Besuch habt.;Прекрасная новость, миледи! Ваш сын, юный принц, вернулся во дворец! Спрашивает, есть ли у вас время, чтобы принять его.;Ottime notizie, mia Signora! Vostro figlio, il Principe, è tornato a palazzo! Chiede se avete tempo per una visita.;Notícias maravilhosas! O seu filho, o príncipe, retornou ao palácio! Ele pergunta se você tem tempo para uma visita.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<i>It's probably best he starts learning to be independent.</i>;<i>Bağımsız olmayı öğrenmesi iyi olur.</i>;<i>Mieux vaut qu'il apprenne l'indépendance au plus vite.</i>;<i>Sería mejor si empezase a aprender a ser independiente.</i>;<i>王子が独立心を学ぶ上では、+最高の機会となったかもしれない。</i>;<i>왕자가 자기 스스로 해결하게 두는 게 가장 좋을 겁니다.</i>;<i>他最好开始学着独立</i>;<i>他最好開始學著獨立</i>;<i>Wahrscheinlich ist es am besten, wenn er jetzt lernt, unabhängig zu sein.</i>;<i>Наверное, это к лучшему: он начинает учиться самостоятельности.</i>;<i>Probabilmente è meglio che cominci a imparare a essere indipendente.</i>;<i>É melhor ele começar a aprender a ser independente.</i>;
_;939;prince;Mother! You look so changed! The other boys at sword school were mean, but I showed them I'm a King's son!;Anne! Çok değişmişsin! Kılıç okulundaki diğer çocuklar kötüydü ama onlara Kral'ın oğlu olduğumu gösterdim!;Mère, comme vous avez changé ! Les autres garçons étaient méchants, mais je leur ai montré qui était le fils du Roi !;¡Madre, cómo habéis cambiado! Los chicos de la escuela de lucha son malos, ¡pero les mostré quien es hijo de un rey!;母上！えらいお変わりようで！+剣術学校の同窓たちは皆いじわるですが、+ボクは自分が王の息子であることを+示してやりました！;어머니! 많이도 변하셨군요! 학교의 다른 애들은 짓궂었지만, 제가 왕의 아들임을 보여주고 왔습니다!;母后！你看起来变化真大！+剑术学校的男孩子们都好过分+但是我告诉他们我是国王的儿子！;母后！你看起來變化真大！+劍術學校的男孩子們都好過分+但是我告訴他們我是國王的兒子！;Mutter! Ihr wirkt so anders! Die Jungs auf der Schule waren gemein, aber ich habe gezeigt, dass ich ein Königssohn bin!;Матушка! Вы так изменились! Мальчишки в школе фехтования задирали меня, но я доказал им, что я — сын короля!;Madre! Siete diversa! I miei compagni di scuola mi trattano male, ma gli ho dimostrato che sono figlio di un Re!;Mãe! Você está tão diferente! Os outros rapazes do colégio foram maus, mas eu mostrei a eles que sou filho de um rei!;Wonderful, darling;Harika, tatlım;C'est très bien, mon chéri.;Maravilloso cariño;素敵よ、坊や;잘했다, 얘야;很棒，亲爱的;很棒，親愛的;Wunderbar, Schatz;Чудесно, милый;Bravissimo, tesoro;Que maravilha, querido;I shouted 'my Dad's the King!' I've such a loud voice, Mother! <i>he shouts.</i>;Babam Kral!' diye bağırdım. Sesim çok gür Anne! <i>diye bağırıyor.</i>;J'ai crié "mon père, c'est le Roi !", "J'ai une voix très forte, Mère !", <i>crie-t-il.</i>;Grité 'mi padre es el Rey!' ¡Tengo una voz tan fuerte, Madre! <i>grita.</i>;「ボクのパパは王様なんだぞ！と、+怒鳴ってやりました！」+ <i>と、王子は怒鳴った。</i>;우리 아버지는 왕이다!' 라고 큰 소리로 소리쳤지요, 어머니! <i>그가 말합니다.</i>;<i>他大喊</i>我喊道"我爸爸是国王！"+妈妈，我的嗓门可大了;<i>他大喊</i>我喊道"我爸爸是國王！"+媽媽，我的嗓門可大了;Ich habe geschrien: "Mein Papa ist der König!" Ich habe eine sehr laute Stimme, Mutter! <i>schreit er.</i>;Я завопил: «Мой папа — король!» У меня такой громкий голос, матушка! <i>кричит он.</i>;Ho urlato: "Mio padre è il Re!" Ho una voce potentissima, madre mia, <i>continua a urlare.</i>;Eu gritei "o meu pai é o rei!". Eu tenho uma voz muito alta, mãe! <i>grita ele.</i>;How's that?;Nasıl?;Comment ?;¿Cómo es eso?;どうやって？;어떻게 했니?;怎么样？;怎麼樣？;Wie denn?;И как же?;Come mai?;Como assim?;I shouted 'my Dad's the King!' I've such a loud voice, Mother! <i>he shouts.</i>;Babam Kral!' diye bağırdım. Sesim çok gür Anne! <i>diye bağırıyor.</i>;J'ai crié "mon père, c'est le Roi !", "J'ai une voix très forte, Mère !", <i>crie-t-il.</i>;Grité 'mi padre es el Rey!' Tengo una voz tan alta, Madre! <i>grita.</i>;「ボクのパパは王様なんだぞ！と、+怒鳴ってやりました！」+ <i>と、王子は怒鳴った。</i>;우리 아버지는 왕이다!' 라고 큰 소리로 소리쳤지요, 어머니! <i>그가 말합니다.</i>;<i>他大喊：</i>我说了我爸爸是国王！+妈妈，我的嗓门可大了;<i>他大喊：</i>我說了我爸爸是國王！+媽媽，我的嗓門可大了;Ich habe geschrien: "Mein Papa ist der König!" Ich habe eine sehr laute Stimme, Mutter! <i>schreit er.</i>;Я завопил: «Мой папа — король!» У меня такой громкий голос, матушка! <i>кричит он.</i>;Ho urlato: "Mio padre è il Re!" Ho una voce potentissima, madre mia, <i>continua a urlare.</i>;Eu gritei "o meu pai é o rei!". Eu tenho uma voz muito alta, mãe! <i>grita ele.</i>;
;940;prince;Mother, dear mother, should I choose my bride for her looks, or for the political advantages?;Anne, canım annem, gelinimi görünüşüne göre mi yoksa politik avantaja göre mi seçmeliyim?;Mère, très chère Mère, dois-je choisir une femme pour sa beauté ou pour l'intérêt du Royaume ?;Madre, querida madre, ¿creéis que he de elegir novia por su aspecto físico o por la influencia política?;ねえ、母上。ボクの妻になる女性に+必要なのは器量でしょうか、+政治的影響力でしょうか？;어머니, 사랑하는 어머니. 배우자를 얼굴을 보고 골라야 할까요, 아니면 정치적인 이점을 보고 골라야 할까요?;母后，亲爱的母后+我该根据外貌来选老婆+还是看她能不能带来政治帮助？;母后，親愛的母后+我該根據外貌來選老婆+還是看她能不能帶來政治幫助？;Mutter, liebe Mutter, soll ich meine Braut nach dem Aussehen oder nach dem politischen Vorteil auswählen?;Матушка, милая матушка! Что важнее при выборе невесты? Ее красота или наша политическая выгода?;Madre, carissima madre! Devo scegliere la mia sposa per il suo aspetto o per i vantaggi politici?;Mãe, querida mãe, acha que devo escolher a minha noiva pela beleza ou pelas vantagens políticas?;Looks matter;Görünüş önemlidir;Sa beauté importe beaucoup.;El físico cuenta;器量ね;얼굴이 최고야;颜值最重要;長相最重要;Das Aussehen ist wichtig;Красота важнее;L'aspetto è importante;A beleza é importante;;;;;;;;;;;;;Be strategic;Stratejik ol;La stratégie avant tout.;Sé estratégico;影響力ね;전략적으로 행동하렴;要讲战略;要講戰略;Geht strategisch vor;Мысли стратегически;Sii strategico;Seja estratégico;;;;;;;;;;;;;
;941;prince;I wanted to do a little hunt, but Father's huntsman says he's tired. Mother, make him get up and take me, now!;Küçük bir av istiyordum ama Baba'mın avcısı yorgun olduğunu söylüyor. Anne, onu kaldır ve beni götürt, şimdi!;J'avais envie d'aller à la chasse, mais le chasseur de Père est fatigué. Dites-lui de se lever et de m'emmener !;Me gustaría salir de caza, pero el cazador de padre dice que está cansado. Madre, haced que se levante y me lleve, ¡ya!;少々狩りを楽しみたいのですが、+猟師が父上はお疲れぎみだと。+今すぐ叩き起こしてください、母上！;사냥을 가고 싶은데, 아버지의 사냥꾼이 피곤하다고 하는군요. 어머니, 당장 깨워서 절 데려가게 해주세요!;我想打打猎，但是父亲的猎人说他好累+母亲，叫他马上起来带我去嘛！;我想打打獵，但是父親的獵人說他好累+母親，叫他馬上起來帶我去嘛！;Ich wollte jagen gehen, aber Vaters Jäger sagt, er sei müde. Mutter, lasst ihn aufstehen und mit mir gehen!;Я хотел поохотиться, но отцовский егерь заявил, что слишком устал. Матушка, велите ему встать и отвезти меня на охоту!;Volevo andare a caccia, ma il cacciatore di papà dice di essere stanco. Ditegli di alzarsi e accompagnarmi subito!;Queria caçar um pouco, mas o caçador do papai diz que está cansado. Mãe, obrigue-o a se levantar e me levar!;Stop whining!;Mızmızlanmayı kes!;Cessez de vous plaindre.;¡Deja de quejarte!;駄々をこねない！;그만 징징대렴!;别再发牢骚了！;別再發牢騷了！;Hört auf zu quengeln!;Довольно нытья!;Smettila di frignare!;Pare de se queixar!;;;;;;;;;;;;;Okay, darling;Tamam tatlım;D'accord, mon chéri.;Está bien, cariño;まかせて、坊や;알겠다, 얘야;好的，亲爱的;好的，親愛的;In Ordnung, Schatz;Хорошо, милый;OK, tesoro;OK, querido;;;;;;;;;;;;;
;942;prince;Mother! Guess what, I can do a hundred push-ups in one minute! Watch me, and count!;Anne! Bil bakalım, bir dakikada yüz şınav çekebiliyorum! İzle beni ve say!;Mère ! Vous savez quoi ? Je suis capable de faire 100 pompes en une minute ! Regardez-moi et comptez !;¡Madre, adivinad! Puedo hacer cien flexiones en un minuto. ¡Miradme, y contad!;母上！ボクって1分間に100回も、+腕立て伏せができるんです！+今からやるので数えてください！;어머니! 이것 보세요. 1분에 팔굽혀펴기 100개를 할 수 있어요! 세어보세요!;母后！你肯定想不到+我可以一分钟内做100个俯卧撑！+快看，跟我数数！;母后！你肯定想不到+我可以一分鐘內做100個俯臥撐！+快看，跟我數數！;Mutter! Stellt Euch vor, ich schaffe hundert Liegestütze in einer Minute! Seht zu und zählt!;Матушка! Представляете, за одну минуту я могу отжаться целых сто раз! Смотрите и считайте!;Madre! Sapete che so fare cento piegamenti in un minuto? Guardatemi e contate!;Mãe! Adivinha só, consigo fazer 100 flexões em um minuto! Veja e conte!;Very good, dear;Çok güzel, canım;C'est formidable, mon chéri.;Muy bien, cariño;すごいわ、坊や;잘하는구나;太棒了，宝贝;太棒了，寶貝;Sehr gut, Liebling;Очень хорошо, милый;Bravo, tesoro;Muito bem, querido;;;;;;;;;;;;;Read a book!;Kitap oku!;Prenez un livre !;¡Ponte a leer un libro!;本を読みなさい！;책 좀 읽으렴!;看书去！;看書去！;Lest ein Buch!;Почитай книгу!;Leggi un libro!;Leia um livro!;;;;;;;;;;;;;
;943;prince;If father dies, then I'll be King next, right? ;Babam ölürse, ben Kral olacağım, değil mi?;Si Père venait à mourir, je deviendrais Roi, n'est-ce pas ?;Si padre muere, entonces yo seré el próximo rey, ¿verdad?;父上が死んだら、+次はボクが王様になるんですよね？;아버지가 죽으면, 제가 다음 왕인거죠?;如果父亲去世了+我就是国王了，对吗？;如果父親去世了+我就是國王了，對嗎？;Wenn Vater stirbt, werde ich der nächste König, stimmt's?;Если отец умрет, я стану королем, верно?;Se mio padre muore sono io il prossimo Re, vero?;Se o papai morrer, eu serei o próximo rei, certo?;No, I'll be Queen;Hayır, ben Kraliçe olacağım;Non, je deviendrais Reine.;No, yo seré Reina;いいえ、私が;아니, 내가 제위에 오를 거란다;不，我会成为女王;不，我會成為女王;Nein, dann regiere ich;Нет, править буду я;No, io sono la Regina;Não, eu serei rainha;;;;;;;;;;;;;Yes, darling;Evet, canım;Oui, trésor.;Sí cariño;そうよ、坊や;그래, 얘야;是的，亲爱的;是的，親愛的;Ja, Schatz;Да, милый;Sì, tesoro;Sim, querido;;;;;;;;;;;;;
;944;prince;Mama, girls don't seem to like me. Is it because I'm not kind? Or is it because I'm not confident?;Anne, kızlar benden hoşlanmıyor. Kibar olmadığım için mi? Yoksa kendime güvenmediğim için mi?;Maman, je ne plais pas aux filles. Est-ce parce que je suis désagréable ou parce que je manque de confiance en moi ?;Mamá, yo creo que no les gusto a las chicas. ¿Será porque no soy atento? ¿O bien porque soy inseguro?;母上、ボクは女の子にもてません。+もっと優しくすべきでしょうか？+堂々とすべきでしょうか？;엄마, 여자들이 날 싫어해요. 제가 취향이 아니어서일까요, 아니면 제가 불편해서일까요?;妈妈，好像女孩子都不喜欢我+是因为不不够友好吗？+还是因为我不够自信？;媽媽，好像女孩子都不喜歡我+是因為不不夠友好嗎？+還是因為我不夠自信？;Mutter, die Mädchen scheinen mich nicht zu mögen. Bin ich nicht nett genug? Oder nicht selbstsicher genug?;Матушка, кажется, я не нравлюсь девушкам! Это потому, что я не добр? Или потому, что не уверен в себе?;Mammina, non piaccio alle ragazze! È perché non sono gentile? Oppure perché non sono sicuro di me?;Mamãe, parece que as garotas não gostam de mim. Será que não sou gentil? Ou será que não sou confiante?;Be kinder!;Daha kibar ol!;Soyez plus gentil.;¡Sé más amable!;もっと優しく！;친절해지렴!;更友好一点！;更友好一點！;Werdet netter!;Будь добрее!;Sii più gentile!;Seja mais gentil!;;;;;;;;;;;;;Be more confident;Kendine daha çok güven;Soyez plus affirmé.;Ten más confianza;もっと堂々と！;자신감을 가지렴;更自信一点;更自信一點;Habt mehr Selbstvertrauen;Будь увереннее в себе!;Sii più sicuro di te;Seja mais confiante;;;;;;;;;;;;;
;945;king;Our son has been pestering all the generals. Don't you think it would be better if he went back to his education?;Oğlumuz tüm generalleri rahatsız ediyor. Eğitimine geri gitse daha iyi olmaz mı?;Notre fils ne cesse d'importuner les généraux. Ne vaudrait-il pas mieux le renvoyer à ses études ?;Nuestro hijo ha estado dando la tabarra a todos los generales. ¿No crees que sería mejor si volviera a la escuela?;将軍たちが息子に手を焼いておる。+学校へ戻したほうがよいのではないか？;우리 아들이 장군을 들볶고 있군. 학교로 돌려보내는 게 어떻겠소?;我们的儿子总是去烦将军们+把他送回学校会不会更好？;我們的兒子總是去煩將軍們+把他送回學校會不會更好？;Unser Sohn hat alle Generäle belästigt. Meint Ihr nicht, es wäre besser, wenn er seine Ausbildung fortsetzt?;Наш сын докучает генералам. Не кажется ли вам, что ему лучше вернуться к учебе?;Nostro figlio è andato a dare fastidio a tutti i generali. Non pensate sia meglio rispedirlo a scuola?;O nosso filho anda chateando todos os generais. Não acha que está na hora dele voltar para a escola?;;;;;;;;;;;;;<i>Your boy soon leaves your side again.</i>;<i>Oğlun kısa süre sonra tekrar yanından ayrılıyor.</i>;<i>Votre fils quitte bientôt votre giron.</i>;<i>Tu niño lindo pronto se va de tu lado.</i>;<i>王子は再び、女王の下を離れた。</i>;<i>아들이 당신 곁을 다시 떠납니다.</i>;<i>你的孩子很快就会离开你的身边</i>;<i>你的孩子很快就會離開你的身邊</i>;<i>Euer Junge verlässt Eure Seite schon bald wieder.</i>;<i>Вскоре ваш мальчик вновь покидает вас.</i>;<i>Ben presto vostro figlio viene allontanato di nuovo.</i>;<i>O seu filho logo volta a partir.</i>;;;;;;;;;;;;;<i>It's too lovely having your precious boy by your side!</i>;<i>Kıymetli oğlunun yanında olması çok güzel!</i>;<i>C'est tellement agréable d'avoir votre cher trésor à vos côtés !</i>;<i>Te encanta tener a tu retoño a tu lado!</i>;<i>愛する息子がそばにいないのは、+寂しすぎて耐えられない！</i>;<i>옆에 사랑하는 아들이 있다는게 너무나 행복합니다!</i>;<i>让我们的宝贝儿子在身边多好！</i>;<i>讓我們的寶貝兒子在身邊多好！</i>;<i>Es ist zu schön, Euren lieben Jungen an Eurer Seite zu haben!</i>;<i>Когда ваш драгоценный малыш рядом, вы слишком счастливы, чтобы его отпускать!</i>;<i>Siete felicissima di avere nuovamente il principino al vostro fianco!</i>;<i>É ótimo ter o seu menino querido ao seu lado!</i>;
;946;chamberlain;We received a letter from your daughter's fine school in the city! I wonder if she's grown beautiful?;Kızınızın şehirdeki iyi okulundan bir mektup aldık! Acaba güzelleşti mi?;Nous avons reçu une lettre de l'école de votre fille ! Je suis impatient de savoir si elle a évolué en beauté.;Hemos recibido carta de la escuela de vuestra hija en la ciudad. Me pregunto si será ya una hermosa muchachita.;王女様の通われる名門校からお手紙が！+お美しく成長されたのでしょうなあ！;도시에 있는 따님의 학교에서 편지를 받았습니다! 아름답게 자라셨을까요?;我们收到了陛下女儿城里贵族学校的来信！+我想知道她是不是出落得越发漂亮了？;我們收到了陛下女兒城裡貴族學校的來信！+我想知道她是不是出落得越發漂亮了？;Wir haben einen Brief von der Schule Eurer Tochter in der Stadt erhalten! Ob sie wohl eine Schönheit geworden ist?;Мы получили письмо из школы изящных манер, где учится ваша дочь. Интересно, красивой ли она выросла?;Abbiamo ricevuto una lettera dalla scuola di vostra figlia! Chissà se è diventata una bella ragazza!;Recebemos uma carta da escola da sua filha na cidade! Será que ela está se tornando uma bela mulher?;Of course;Tabii ki;C'est évident.;Por supuesto;当然よ;물론;当然;當然;Natürlich;Само собой;Ma certo;Claro;Your daughter is a delightfully challenging girl, <i>it says.</i>;Kızınız hoş şekilde zorlu bir kız, <i>diyor.</i>;"Votre fille est une jeune fille délicieusement exigeante"<i>dit la lettre.</i>;<i>Vuestra hija es una niña deliciosamente retadora,</i> dice.;「陛下のご令嬢は喜ばしいほど、+野心的な女の子にあられます」+<i>と、手紙にはつづられていた。</i>;따님은 정말 까다로운 분입니다.<i> 라고 쓰여있었습니다.</i>;<i>上面写道+</i> 您女儿是一个让人喜欢的爱发起挑战的人;<i>上面寫道+</i> 您女兒是一個讓人喜歡的愛發起挑戰的人;<i>Eure Tochter ist ein erfreulich anspruchsvolles Mädchen,</i> steht dort.;<i>Ваша дочь прелестно своенравна,</i> сказано в письме.;C'è scritto: <i>vostra figlia è una ragazza meravigliosamente difficile</i>.;<i>A sua filha é uma garota adorável que apresenta uma série de desafios,</i> diz na carta.;That's not important;Bu önemli değil;Cela importe peu.;Eso no importa;そこは重要じゃない;그건 중요치 않아;这并不重要;這並不重要;Das ist nicht wichtig;Это неважно;Chissene;Isso não importa;<i>Your daughter is a delightfully challenging girl,</i> it says.;<i>Kızınız hoş şekilde zorlu bir kız,</i> diyor.;<i>"Votre fille est une jeune fille délicieusement exigeante" </i> dit la lettre.;<i>Vuestra hija es una niña deliciosamente retadora,</i> dice.;「陛下のご令嬢は喜ばしいほど、+野心的な女の子にあられます」+<i>と、手紙にはつづられていた。</i>;<i>따님은 정말 까다로운 분입니다.</i> 라고 쓰여있었습니다.;<i>上面写道：+</i> 您女儿是一个让人喜欢的爱发起挑战的人;<i>上面寫道：+</i> 您女兒是一個讓人喜歡的愛發起挑戰的人;<i>Eure Tochter ist ein erfreulich anspruchsvolles Mädchen,</i> steht dort.;<i>Ваша дочь прелестно своенравна,</i> сказано в письме.;C'è scritto: <i>vostra figlia è una ragazza meravigliosamente difficile</i>.;<i>A sua filha é uma garota adorável que apresenta uma série de desafios,</i> diz na carta.;
;947;chamberlain;What a surprise! Your daughter the princess has come home! She asks if her honored mother the Queen has time to visit.;Ne sürpriz ama! Kızınız prenses eve geldi! Değerli annesi Kraliçe'nin ziyaret için vakti var mı soruyor.;Quelle belle surprise ! La princesse votre fille est rentrée au Palais ! Elle aimerait que vous lui rendiez visite.;¡Qué sorpresa! ¡Vuestra hija la Princesa ha llegado a casa! Pregunta si su Excelsa Madre tiene tiempo para una visita.;驚かれますぞ！王女様が家へお戻りに！+お会いになられますか？;놀랍군요! 공주님께서 집으로 돌아오셨어요! 어머니 여왕님을 뵙고 싶다고 하시는군요.;真是惊喜，公主殿下回家了！+殿下问母亲大人是否有空去看看她;真是驚喜，公主殿下回家了！+殿下問母親大人是否有空去看看她;Welche Überraschung! Eure Tochter, die Prinzessin, ist wieder zu Hause! Sie fragt, ob Ihr Zeit für einen Besuch habt.;Какой сюрприз! Ваша дочь — юная принцесса — вернулась домой! Она хочет знать, может ли ее достопочтимая мать принять ее.;Che sorpresa! Vostra figlia, la principessa, è tornata a casa! Chiede se la sua onorevole madre ha tempo per una visita.;Mas que surpresa! A sua filha, a princesa, veio para casa! Ela pergunta se a rainha tem tempo para uma visita.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<i>You did the labor to create her, wasn't that enough?</i>;<i>Onu oluşturan işi yaptın, bu yetmez mi?</i>;<i>Vous avez souffert pour la mettre au monde, cela devrait suffire.</i>;<i>Ya pusiste esfuerzo en parirla, ¿no fue eso suficiente?</i>;<i>お産の時に苦しめられただけで、+十分ではないか？</i>;<i>애를 낳을 때 그렇게 힘들었는데, 그것만으로 충분치 않았나 봅니다.</i>;<i>你生下她所受的苦，还不够吗？</i>;<i>你生下她所受的苦，還不夠嗎？</i>;<i>Ihr hattet genug damit zu tun, dass sie auf die Welt kam. Reicht das etwa nicht?</i>;<i>Вы проделали такую работу, чтобы она появилась на свет! Разве этого недостаточно?</i>;<i>Trovare il tempo di partorirla non è stato abbastanza?</i>;<i>Você já teve trabalho suficiente para trazê-la ao mundo, será que isso não bastou?</i>;
_;948;princess;Mama! You are looking so sweet. I told all my friends: Have hope, you can look well while old, just look at my Mama.;Anne! Çok tatlı görünüyorsun. Tüm arkadaşlarıma dedim ki, umudunuz olsun: Yaşlıyken iyi görünebilirsiniz, Anneme bakın.;Mère, vous êtes radieuse ! J'ai dit à toutes mes amies que vous êtes la preuve vivante qu'on peut être vieille et belle.;¡Mamá, os veis tan linda! Le dije a mis amigas: no perdáis la esperanza, se puede ser vieja y guapa, mirad a mi mamá.;お母さま！相変わらずお美しい。+友人たちには老いを恐れるな、+うちのお母さまをご覧なさい、+といつも申しておりますわ。;엄마! 아름다워 보이시군요. 제가 친구들에게 늙어도 우리 어머니처럼 예쁠 수 있으니 희망을 가지라고 얘기해줬답니다.;妈妈！你看起来容光焕发！+我跟我所有朋友都说过，别灰心+即使变老，也能美丽动人+我妈妈就是个鲜活的例子！;媽媽！你看起來容光煥發！+我跟我所有朋友都說過，別灰心+即使變老，也能美麗動人+我媽媽就是個鮮活的例子！;Mama! Ihr seht wundervoll aus. Ich habe es allen gesagt: Man kann alt werden und doch gut aussehen, so wie meine Mama.;Матушка! Вы такая красавица! Я велела подругам не отчаиваться: вы — пример того, как хорошо можно выглядеть в старости.;Mamma! Siete uno splendore. Alle mie amiche ho detto: c'è speranza! Si può essere belle da vecchie, guardate mia mamma!;Mamãe! Você está ótima. Disse às minhas amigas para terem esperança, elas podem ficar velhas e bonitas como você.;Oh sweetheart;Ah tatlım;Oh comme c'est gentil.;Oh, encanto;優しい子ね;오 얘야;啊我的宝贝儿;啊我的寶貝兒;Oh, Schätzchen;О, моя милая…;Oh tesoro mio;Oh, querida;;;;;;;;;;;;;You brat!;Seni şımarık!;Impertinente !;¡Mocosa!;このガキ！;버릇없게!;小鬼！;小鬼！;Göre!;Негодница!;Mocciosa che non sei altro!;Sua fedelha!;;;;;;;;;;;;;
;949;princess;Must I marry at sixteen like some commoner? Mama, what's more important for me while I am young and beautiful?;Sıradan biri gibi on altımda evlenmeli miyim? Anne, genç ve güzelken benim için ne daha önemli?;Dois-je me marier à 16 ans, comme tout le monde ? Mère, que dois-je privilégier, tant que je suis jeune et belle ?;¿He de casarme a los dieciséis como una plebeya? Mamá, ¿qué es lo más importante para mí ahora que soy joven y hermosa?;私も16歳で結婚するのでしょうか？+ねえお母さま、若くて美しい今のうちに+やっておくべきことって、何でしょう？;평민처럼 16살에 결혼해야 하나요? 엄마, 제가 젊고 예쁜데 뭐가 더 중요하다고 하시는 건가요?;我也得像老百姓一样16岁就结婚吗？+妈妈，当我年轻美貌的时候+还有什么事更为重要？;我也得像老百姓一樣16歲就結婚嗎？+媽媽，當我年輕美貌的時候+還有什麼事更為重要？;Muss ich mit 16 heiraten, so wie eine Bürgerliche? Mama, was ist wichtiger für mich, solange ich jung und schön bin?;Неужели я должна выйти замуж в 16 лет, как какая-то простолюдинка? Матушка, что важнее всего для юной красавицы?;Devo sposarmi a sedici anni come una qualsiasi plebea? Qual è la cosa più importante quando si è giovani e belle?;Tenho mesmo que me casar aos 16 anos, como uma plebeia? Mamãe, o que é mais importante para mim enquanto sou jovem?;Education;Eğitim;Votre éducation.;Tu educación;教育;교육;读书好;讀書好;Ausbildung;Образование;L'istruzione;Educação;;;;;;;;;;;;;A good marriage;İyi bir evlilik;Un bon mariage.;Un buen matrimonio;結婚;좋은 결혼;嫁得好;嫁得好;Gut zu heiraten;Удачный брак;Un buon matrimonio;Um bom casamento;;;;;;;;;;;;;
;950;princess;Of course I care about poor people. So let us give away a fun party dress to each family! Can we, Mama?;Tabii ki fakir insanları umursuyorum. Hadi her aileye eğlenceli bir parti elbisesi verelim! Olur mu, Anne?;Bien sûr, je pense aux pauvres. Offrons une robe de bal à chaque famille ! Vous voulez bien, Mère ?;¡Claro que me importa la gente pobre! Vamos a ofrecer una fiesta de disfraces a cada familia. ¿Sí, mamá?;貧乏人が哀れでなりません。+すべての家庭に愉快なパーティドレスを+配ってやりませんか、お母さま？;저도 빈민들을 신경쓰지요. 모든 가정에 멋진 파티 드레스를 주는 건 어떨까요? 그래도 되나요, 엄마?;当然，我很关心穷苦的人+让我们给每家每户送一件派对礼服吧！+怎么样，妈妈？;當然，我很關心窮苦的人+讓我們給每家每戶送一件派對禮服吧！+怎麼樣，媽媽？;Natürlich sorge ich mich um arme Leute. Geben wir allen Familien lustige Festkleider! Ja, Mama?;Конечно, бедняки мне не безразличны. Давайте выдадим каждой семье по забавному вечернему платью! Можно, матушка?;Mi importa molto dei poveri. Regaliamo un vestito da festa a ogni famiglia! Possiamo, mammina?;Claro que eu me importo com os pobres. Vamos dar um vestido de festa bonito a cada família! Podemos, mamãe?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
