id;en;tu;fr;es;jp;ko;sc;tc;de;ru;it;bp
diplomat;<male_names> <last_names>;;;;<male_names>・<last_names>;<male_names> <last_names>;<male_names>・<last_names>;<male_names>・<last_names>;;;<male_names> <last_names>;
diplomat_generic;The Diplomat;Diplomat;Le Diplomate;El Diplomático;大使;대사;外务大臣;外務大臣;Der Diplomat;Дипломат;Il Diplomatico;O Diplomata
doctor;Master <...>;<...> Efendi;Maître <...>;Maestro <...>;<...>医師;<...> 의사;<...>大师;<...>大師;Meister <...>;Мастер <...>;Maestro <...>;Mestre <...>
;Ibn Zuhr;;;;イブン=ズフル;이븐 즈흐루;伊本・苏尔;伊本・蘇爾;Ibn Zuhr;ибн Зухр;Ibn Zuhr;Ibn Zuhr
;Avenzoar;;;;アベンゾアル;아벤조아;艾本祖尔;艾本祖爾;Avenzoar;Абензоар;Avenzoar;Avenzoar
;Abraham of Aragon;Aragonlu Abraham;Abraham d'Aragon;Abraham de Aragón;アラゴンのアブラハム;아라곤의 아브라함;阿拉贡的亚伯拉罕;阿拉貢的亞伯拉罕;Abraham von Aragon;Авраам Арагонский;Abraham di Aragona;Abraão de Aragon
;Joannes Actuarius;;;Juan Actuarius;ハネス・アクトゥアリウス;요하네스 악트리아우스;乔安尼斯・阿丘列斯;喬安尼斯・阿丘列斯;Joannes Actuarius;Иоанн Актуарий;Joannes Actuarius;Joannes Actuarius
;Arn de Villa Nova;;;Arno de Villa Nova;アルノー・ド・ビルヌーブ;아르노 드 빌라노바;维拉诺瓦的安纳尔;維拉諾瓦的安納爾;Arn de Villa Nova;Арн из Виллановы;Arn di Villa Nova;Arn de Villa Nova
;Ferrarius;;;Ferrario;フェラリウス;페라리우스;费拉瑠斯;費拉瑠斯;Ferrarius;Феррарий;Ferrarius;Ferrário
;Ben Maimon;;;;ベン=マイモーン;벤 마이몬;本・迈蒙;本・邁蒙;Ben Maimon;бен Маймон;Ben Maimon;Ben Maimon
doctor_generic;The Doctor;Hekim;Le Docteur;El Doctor;医師;의사;医生;醫生;Der Doktor;Врачеватель;Il Dottore;O Médico
ghost;Spirit of the Fallen;Ölmüşlerin Ruhu;Esprit des Déchus;Espíritu de los Caídos;亡者;망자;亡者之灵;亡者之靈;Geist der Gefallenen;Дух падшего;Spirito dei caduti;Espírito dos Caídos
ghost_generic;The Ghost;Hayalet;Le Fantôme;El Fantasma;亡霊;망령;幽灵;幽靈;Der Geist;Призрак;Il Fantasma;O Fantasma
duke;Lord <male_names>;;;;<male_names>公;<male_names> 공;<male_names>大人;<male_names>大人;Fürst <male_names>;Лорд <male_names>;Lord <male_names>;Lorde <male_names>
duke_generic;The Duke;Dük;Le Duc;El Duque;公爵;공작;公爵;公爵;Der Herzog;Герцог;Il Duca;O Duque
farmer;<...>;;;;<...>;<...>;<...>;<...>;;;<...>;
;Puck;;;;パック;퍽;巴克;巴克;Puck;Пак;Puck;Puck
;Boon;;;;ブーン;분;布恩;布恩;Boon;Бун;Boon;Boon
;Mat;;;;マット;매트;马特;馬特;Mat;Мат;Mat;Mat
farmer_generic;The Farmer;Çiftçi;Le Fermier;El Granjero;農民;농부;农民;農民;Der Bauer;Фермер;Il contadino;O Fazendeiro
effects;<i>This will have effect every year.</i>;<i>Bu durum, her yıl etki edecektir.</i>;<i>Cela vous affectera chaque année.</i>;<i>Ésto os afectará cada año.</i>;<i>毎年、効果が発生！</i>;<i>매년 효과가 발생합니다.</i>;<i>这一效果将每年生效。</i>;<i>這一效果將每年生效。</i>;<i>Dies wirkt sich jedes Jahr aus.</i>;<i>Эффект проявляется каждый год.</i>;<i>Questo avrà effetto ogni anno.</i>;<i>Isto surtirá efeito a cada ano.</i>
effects_move;<i>This will have effect every second.</i>;<i>Bu durum, her saniye etki edecektir.</i>;<i>Cela vous affectera chaque seconde.</i>;<i>Ésto os afectará cada segundo.</i>;<i>毎秒、効果が発生！</i>;<i>매초 효과가 발생합니다.</i>;<i>这一效果将时刻生效。</i>;<i>這一效果將時刻生效。</i>;<i>Dies wirkt sich jede Sekunde aus.</i>;<i>Эффект проявляется каждую секунду.</i>;<i>Questo avrà effetto ogni secondo.</i>;<i>Isto surtirá efeito a cada segundo.</i>
foreign_princess;Princess <...>;Prenses <...>;Princesse <...>;Princesa <...>;プリンセス・<...>;<...> 공주;<...>公主;<...>公主;Prinzessin <...>;Принцесса <...>;Principessa <...>;Princesa <...>
;Jumanah;;;;ジュマナー;쥬마나;尤马娜;尤馬娜;Jumanah;Джумана;Jumanah;Jumanah
;Kamaria;;;;カマリア;카마리아;卡玛利亚;卡瑪利亞;Kamaria;Камария;Kamaria;Kamaria
;Lale;;;;ララ;레일;蕾尔;蕾爾;Lale;Лейла;Lale;Lale
;Maisha;;;;マイシャ;마이샤;麦伊莎;麥伊莎;Maisha;Маиша;Maisha;Maisha
;Mushtaree;;;;ムシュタリー;무슈타리;穆莎塔里;穆莎塔裏;Mushtaree;Муштари;Mushtaree;Mushtari
foreign_princess_generic;The Foreign Princess;Yabancı Prenses;La Princesse Étrangère;La Princesa Extranjera;異国の王女;다른 나라 공주;异国公主;異國公主;Die fremde Prinzessin;Иностранная принцесса;La Principessa straniera;A Princesa Estrangeira
fortune_teller;<...> the Seer;Falcı <...>;<...> le Voyant;<...> el Vidente;占術師<...>;점술사 <...>;先知<...>;先知<...>;<...> der Seher;<...> Провидец;<...> il Veggente;<...>, o Vidente
;Rohannes;;;;ロハネス;로하네스;洛汉内斯;洛漢內斯;Rohannes;Роханн;Rohannes;Rohannes
;Loon;;;;ルーン;룬;卢恩;盧恩;Loon;Лун;Loon;Lum
;Actarius;;;;アクタリウス;악타리우스;阿丘列斯;阿丘列斯;Actarius;Актарий;Actarius;Actário
;Zen;;;;ゼン;젠;禅;禪;Zen;Дзен;Zen;Zen
;Pastorius;;;;パストリアス;파스토리우스;帕斯托瑞斯;帕斯托瑞斯;Pastorius;Пасторий;Pastorius;Pastório
fortune_teller_generic;The Fortune Teller;Falcı;Le Voyant;El Vidente;占い師;점쟁이;预言师;預言師;Der Wahrsager;Гадатель;Il Chiromante;O Vidente
general;General <...>;;Général <...>;General <...>;<...>将軍;<...> 장군;<...>将军;<...>將軍;General <...>;Генерал <...>;Generale <...>;General <...>
;Blomington;;;;ブロミントン;블루밍튼;波洛明顿;波洛明頓;Blomington;Бломингтон;Blomington;Blomington
;Coventon;;;;コベントン;코벤튼;柯文顿;柯文頓;Coventon;Ковентон;Coventon;Coventon
;Arnoulf of Dover;Doverli Arnoulf;Arnoulf de Douvres;Arnolfo de Douvres;アルヌルフ＝オブ＝ドーバー;도버의 아눌프;多佛尔的阿诺夫;多佛爾的阿諾夫;Arnulf von Dover;Арноульф Доверский;Arnolfo di Dover;Arnolfo de Dover
;Pollon;;;;ポロン;폴롱;波伦;波倫;Pollon;Поллон;Pollon;Pólon
general_generic;The General;General;Le Général;El General;将軍;장군;将军;將軍;Der General;Генерал;Il Generale;O General
jester;<...> Loosetongue;Boşboğaz <...>;<...> Languependue;<...> Lenguaperdida;軽口の<...>;수다쟁이 <...>;长舌<...>;長舌<...>;<...> Schandmaul;<...> Болтун;<...> Lingualunga;<...> Gárrulo
;Borhat;;;;ボルハット;보르햇;博尔赫特;博爾赫特;Borhat;Борхат;Borhat;Borhat
;Graham;;;;グラハム;그레이엄;格雷姆;格雷姆;Graham;Грэхем;Graham;Graham
;Junius;;;;ジュニアス;주니어스;尤涅斯;尤涅斯;Junius;Юний;Junius;Júnior
;Guybrosh;;;;ガイブロシ;가이브로쉬;盖布洛什;蓋布洛什;Guybrosh;Гайброш;Guybrosh;Guybrosh
jester_generic;The Jester;Soytarı;Le Fou;El Bufón;道化師;어릿광대;弄臣;弄臣;Der Narr;Шут;Il Giullare;O Bobo
lady;Miss <...>;<...> Hanım;Mademoiselle <...>;Señorita <...>;ミス・<...>;<...> 양;<...>女士;<...>女士;Fräulein <...>;Мисс <...>;Signorina <...>;Senhorita <...>
;Alice;;;Alicia;アリス;앨리스;爱丽丝;愛麗絲;Alice;Алиса;Alice;Alice
;Agona;;;;アゴナ;에이고나;艾格娜;艾格娜;Agona;Агона;Agona;Agona
;Tarascol;;;;タラスコル;타라스콜;塔拉斯科;塔拉斯科;Tarascol;Тарасколь;Tarascol;Tarascol
;Birmin;;;;バーミン;버민;毕尔敏;畢爾敏;Birmin;Бирмин;Birmin;Birmin
lady_generic;The Lady;Leydi;La Demoiselle;La Dama;貴婦人;귀부인;贵妇;貴婦;Die Dame;Госпожа;La Lady;A Dama
merchant;Master <last_names>;<last_names> Efendi;Maître <last_names>;Maestro <last_names>;<last_names>親方;<last_names> 사장;<last_names>先生;<last_names>先生;Meister <last_names>;Мастер <last_names>;Maestro <last_names>;Mestre <last_names>
merchant_generic;The Merchant;Tüccar;Le Marchand;El Mercader;商人;상인;商人;商人;Der Händler;Купец;Il Mercante;O Comerciante
monk;Father <...>;Peder <...>;Père <...>;Padre <...>;<...>師;<...> 신부;<...>神父;<...>神父;Pater <...>;Отец <...>;Padre <...>;Pai <...>
;Brown;;;;ブラウン;브라운;布朗;布朗;Brown;Браун;Brown;Brown
;Felipe;;;;フェリペ;펠리페;费利佩;費利佩;Felipe;Фелипе;Felipe;Felipe
;Patrick;;;Patricio;パトリック;패트릭;帕特里克;帕特裏克;Patrick;Патрик;Patrick;Patrício
;Quill;;;;クイル;퀼;奎尔;奎爾;Quill;Квилл;Quill;Quill
;Zenon;;;;ゼノン;제논;芝诺;芝諾;Zenon;Зенон;Zeno;Zenon
monk_generic;The Monk;Keşiş;Le Capucin;El Monje;修道士;수도사;僧侣;僧侶;Der Mönch;Монах;Il Frate;O Monge
nobleman;Sir <male_names>;<male_names> Bey;;Lord <male_names>;<male_names>公;<male_names> 공;<male_names>爵士;<male_names>爵士;Sir <male_names>;Сэр <male_names>;Sir <male_names>;Sor <male_names>
nobleman_generic;The Nobleman;Soylu;Le Noble;El Noble;諸侯;제후;贵族;貴族;Der Adlige;Дворянин;Il Nobile;O Nobre
pestifer_generic;The Pestifer;Hasta;Le Pestiféré;El Apestado;疫病患者;역병환자;瘟疫患者;瘟疫患者;Der Pestbringer;Вредный;L'Appestato;O Pestífero
prince;Prince <male_names>;Prens <male_names>;;Príncipe <male_names>;<male_names>王子;<male_names> 왕자;<male_names>王子;<male_names>王子;Prinz <male_names>;Принц <male_names>;Prince <male_names>;Príncipe <male_names>
prince_generic;The Prince;Prens;Le Prince;El Príncipe;王太子;왕자;王子;王子;Der Prinz;Принц;Il Principe;O Príncipe
soldier;<male_names> the Bold;Yiğit <male_names>;<male_names> le Fier;<male_names> el Orgulloso;勇敢なる<male_names>;용기있는 <male_names>;无畏<male_names>;無畏<male_names>;<male_names> der Kühne;<male_names> Храбрый;<male_names> l'Ardito;<male_names>, o Valente
soldier_generic;The Soldier;Asker;Le Soldat;El Soldado;兵士;병사;士兵;士兵;Der Soldat;Солдат;Il Soldato;O Soldado
spy;Whisperer;Sır Paylaşan;Chuchoteur;Susurrador;密告者;밀고자;告密者;告密者;Flüsterer;Шептун;Sussurratore;Sussurrante
spy_generic;The Spy;Casus;L'Espion;El Espía;密偵;밀정;密探;密探;Der Spion;Шпион;La Spia;O Espião
witch;Lady <...>;<...> Hanım;;Doña <...>;レディ・<...>;레이디 <...>;<...>夫人;<...>夫人;Madame <...>;Леди <...>;Madame <...>;Lady <...>
;Leana;;;;リアナ;리아나;琳娜;琳娜;Leana;Леана;Leana;Leana
;Pausilia;;;;ポーシリア;푸실리아;保希莉亚;保希莉亞;Pausilia;Паузилия;Pausilia;Pausília
;Karkovia;;;;カルコヴィア;카르코비아;卡科维亚;卡科維亞;Karkovia;Карковия;Karkovia;Karkóvia
;Secos;;;;シーコス;시코스;赛可斯;賽可斯;Secos;Сэкос;Secos;Secos
witch_generic;The Witch;Cadı;La Sorcière;La Bruja;魔女;마녀;女巫;女巫;Die Hexe;Ведьма;La Strega;A Bruxa
nun;Sister <female_names>;Rahibe <female_names>;Sœur <female_names>;Sor <female_names>;シスター・<female_names>;<female_names> 수녀;<female_names>修女;<female_names>修女;Schwester <female_names>;Сестра <female_names>;Sorella <female_names>;Irmã <female_names>
nun_generic;The Nun;Rahibe;La Nonne;La Monja;修道女;수녀;嬷嬷;嬤嬤;Die Nonne;Монахиня;La Suora;A Freira
executioner;Justice <male_names>;Cellat <male_names>;;Justicia <male_names>;<male_names>執行官;<male_names> 집행관;<male_names>法官;<male_names>法官;<male_names> der Vollstrecker;Судья <male_names>;<male_names> la Giustizia;Justiceiro <male_names>
executioner_generic;The Executioner;Cellat;L'Exécuteur;El Verdugo;処刑人;사형집행인;处刑人;處刑人;Der Henker;Палач;Il Boia;O Carrasco
explorator;<male_names> <last_names>;;;;<male_names>・<last_names>;<male_names> <last_names>;<male_names>・<last_names>;<male_names>・<last_names>;<male_names> <last_names>;;<male_names> <last_names>;<male_names> <last_names>
explorator_generic;The Explorator;Kaşif;L'Explorateur;El Explorador;探検家;탐험가;探险家;探險家;Der Entdecker;Открыватель;L'Esploratore;O Explorador
dog_generic;The Royal Dog;Kraliyet Köpeği;Le Chien Royal;El Perro Real;宮廷犬;궁중견;御犬;禦犬;Der Hund des Königs;Королевский пес;Il Cane Reale;O Cão Real
dog;Rex;;;;レックス;렉스;雷克斯;雷克斯;Rex;Рекс;Rex;Rex
prophet_generic;The Prophet;Peygamber;Le Prophète;El Profeta;預言者;예언자;先知;先知;Der Prophet;Пророк;Il Profeta;O Profeta
prophet;<...> of <places>;<places> Şehrinden <...>;<...> de <places>;<...> de <places>;<places>の<...>;<places>의 <...>;<places>的<...>;<places>的<...>;<...> von <places>;<...> из <places>;<...> di <places>;<...> de <places>
;Acturus;;;;アクトゥルス;악투루스;阿丘鲁斯;阿丘魯斯;Acturus;Актурус;Acturus;Arcturo
;Brodus;;;;ブローダス;브로더스;布鲁杜斯;布魯杜斯;Brodus;Бродус;Brodus;Brodus
;Limitus;;;;リミタス;리미투스;李米特斯;李米特斯;Limitus;Лимитус;Limitus;Limito
;Arnauld;;;;アルノー;아르노;阿尔诺;阿爾諾;Arnauld;Арнольд;Arnaldo;Arnoldo
parker_generic;The Lord;Lord;Le Lord;El Señor;領主;영주;领主;領主;Der Lord;Владыка;Il Lord;O Senhor
parker;Lord Parker;Lord Parker;;Señor;パーカー公;파커 공;帕克勋爵;帕克勳爵;Lord Parker;Лорд Паркер;Lord Parker;Lorde Parker
werewolf_generic;The Werewolf;Kurtadam;Le Loup-Garou;El Hombre-lobo;人狼;늑대인간;狼人;狼人;Der Werwolf;Оборотень;Il Licantropo;O Lobisomem
werewolf;Wulfa;Kurtkadın;;;ウルファ;울파;沃尔弗;沃爾弗;Wulfa;Вульфа;Wulfa;Wulfa
homunculus_generic;The Homunculus;Homunkulüs;L'Homonculus;El Homúnculo;ホムンクルス;호문클루스;瓶中小人;瓶中小人;Der Homunkulus;Гомункул;L'Omuncolo;O Homúnculo
homunculus;? ? ?;;;;？？？;? ? ?;谜之声;謎之聲;;;? ? ?;
minstrel_generic;The Minstrel;Ozan;Le Ménestrel;El Juglar;吟遊詩人;음유시인;吟游诗人;吟遊詩人;Der Minnesänger;Менестрель;Il Menestrello;O Trovador
minstrel;<male_names> <last_names>;;;;<male_names>・<last_names>;<male_names> <last_names>;<male_names>・<last_names>;<male_names>・<last_names>;;;<male_names> <last_names>;
painter_generic;The Painter;Ressam;Le Peintre;El Pintor;画家;화가;画家;畫家;Der Maler;Живописец;Il Pittore;O Pintor
painter;<...>;;;;<...>;<...>;<...>;<...>;;;<...>;
;Gregorios;;;;グレゴリオス;그레고리우스;格雷戈瑞斯;格雷戈瑞斯;Gregorios;Грегориос;Gregorio;Gregório
;Randall;;;;ランドール;랜달;兰德尔;蘭德爾;Randall;Рэндалл;Randall;Randall
;Proteos;;;;プロテオース;프로테우스;普罗秋斯;普羅秋斯;Proteos;Протеос;Proteo;Proteo
rival_generic;The Rival;Hasım;Le Rival;El Rival;宿敵;숙적;竞争者;競爭者;Der Rivale;Претендент;Il Rivale;O Rival
rival;<king_names>;;;;<king_names>;<king_names>;<king_names>;<king_names>;;;<king_names>;
skeleton_generic;The Skeleton;İskelet;Le Squelette;El Esqueleto;スケルトン;해골;骷髅;骷髏;Das Skelett;Скелет;Lo Scheletro;O Esqueleto
skeleton;Kloc;;;;クロック;클록;克洛;克洛;Kloc;Клок;Kloc;Kloc
places;Coterbury;;;Castalejo;コータベリー;코터베리;坎特伯雷;坎特伯雷;Coterbury;Котербери;Coterbury;Coterbury
;Randon;;;Riandro;ランドン;랜든;兰登;蘭登;Randon;Рэндона;Randon;Randon
;Angeli;;;San Angel;サンタンゲリオン;세인트 안젤리온;圣安吉利安;聖安吉利安;Saint Angeli;Сент-Ангелиона;Saint Angel;Santo Angélio
;Portune;;;Portón;ポルトン;포르툰;波顿;波頓;Portune;Портуна;Portune;Portuna
;Talman;;;Talmañoso;タルマニー;탈만;塔尔曼;塔爾曼;Talman;Талмана;Talman;Talmem
;Rigsbourg;;;Burgo Rico;リグズバーグ;릭스부르크;里斯伯格;裏斯伯格;Rigsburg;Ригсбурга;Rigsburg;Rigsburgo
;Alamain;;;Alhama;アラメーン;알라망;阿莱曼;阿萊曼;Alamain;Алемейна;Alamain;Alamã
;Port Sead;;;Puertomar;ポート・シード;포트 시드;波特・希德;波特・希德;Port Sead;Порта Сида;Port Sead;Porto Sead
;Falisby;;;Falisco;ファリスビー;팰리스비;法里斯比;法裏斯比;Falisby;Фалисби;Falisby;Falisby
;Reeds;;;Risadegua;リーズ;리즈;里德;裏德;Reeds;Ридса;Reeds;Canavial
;Valambun;;;;バラムバン;발람번;瓦拉布恩;瓦拉布恩;Valam;Валамбуна;Valambun;Valambum
;Grevoh;;;Grevorrubi;グレヴォー;그레보;格雷科;格雷科;Grevoh;Грево;Grevoh;Grevô
;Ostwald;;;Ajolibre;オストウォルド;오츠왈드;奥斯特沃德;奧斯特沃德;Ostwald;Оствальда;Ostwald;Ostwaldo
exotic_male_names;Woldruff;;;;ヴォルドラフ;보르드러프;伍德拉夫;伍德拉夫;Woldruff;Волдруф;Woldruff;Woldrufo
;Radogost;;;;ラドゴスト;라도고스트;拉德格斯特;拉德格斯特;Radogost;Радогост;Radogost;Radogosti
;Brohnwist;;;;ブローンヴィスト;브론비스트;布若韦斯特;布若韋斯特;Brohnwist;Бронвист;Brohnwist;Bronwist
;Deobulf;;;;デオバルフ;데오벌프;德尔布夫;德爾布夫;Deobulf;Деобульф;Deobulf;Deobulfe
;Powpow;;;;パウパウ;파우파우;包宝;包寶;Powpow;Паупау;Powpow;Powpow
;Sylbourgh;;;;シルボー;실버러;希尔波尔;希爾波爾;Sylbourgh;Сильборо;Sylbourgh;Silborow
male_names;Cedric;;Cédric;;セドリック;세드릭;塞德里克;塞德裏克;Cedric;Седрик;Cedric;Cedric
;Gotfried;;;Godofredo;ゴットフリート;고트프리드;哥弗里德;哥弗裏德;Gottfried;Готфрид;Goffredo;Godofredo
;Adémar;;;Ademar;アデマール;아데마르;阿德马尔;阿德馬爾;Adémar;Адемар;Ademaro;Ádemar
;Jest;;;Jesto;ジェスト;제스트;杰斯特;傑斯特;Jest;Джест;Giusto;Jest
;Thomas;;;Tomás;トマス;토마스;托马斯;托馬斯;Thomas;Томас;Tommaso;Tomás
;John;;Jean;Juan;ジョン;존;约翰;約翰;John;Джон;Giovanni;João
;Henry;;Henri;Enrique;ヘンリー;헨리;亨利;亨利;Henry;Генри;Enrico;Henrico
;William;;Guillaume;Guillermo;ウィリアム;윌리엄;威廉;威廉;William;Вильям;Guglielmo;Guilherme
last_names;Vaujhan;;;;ボーン;보잔;沃伊安;沃伊安;Vaujhan;Воэн;Vaujhan;Vagner
;Ware;;;;ウェア;웨어;威尔;威爾;Ware;Вейр;Ware;Weir
;Writhe;;;;ライズ;라이즈;莱斯;萊斯;Writhe;Ритт;Writhe;Rito
;de Rous;;;de Roz;デ・ルー;드 루;德罗斯;德羅斯;de Rous;де Ру;de Rous;de Rous
;of Sherwood;Sherwoodlu;de Sherwood;de Sherwood;シャーウッド;오브 셔우드;舍伍德;舍伍德;von Sherwood;Шервудский;di Sherwood;de Shérvila
;Farringon;;;;ファリンゴン;파링곤;法林顿;法林頓;Farringon;Фаррингтон;Farringon;Fárringo
;Croomwell;;;;クルームウェル;크룸웰;克隆威尔;克隆威爾;Croomwell;Крумвель;Croomwell;Crunvel
;Courtenay;;;;コートニー;코트니;科特内;科特內;Courtenay;Куртенэ;Courtenay;Cortenai
;Brandon;;;;ブランドン;브랜든;布兰东;布蘭東;Brandon;Брендон;Brand;Breno
female_names;Julie;;;Julia;ジュリー;줄리;朱莉;朱莉;Julia;Жули;Giulia;Julia
;Sylvia;;;Silvia;シルビア;실비아;希尔薇娅;希爾薇婭;Sylvia;Сильвия;Silvia;Sílvia
;Godiva;;;;ゴダイバ;고다이바;戈迪瓦;戈迪瓦;Godiva;Годива;Godiva;Godiva
;Elena;;;;エレナ;엘레나;艾琳娜;艾琳娜;Elena;Елена;Elena;Elena
;Delphine;;;;デルフィーヌ;델핀;德尔芬;德爾芬;Delphine;Дельфина;Delfina;Delfine
;Brianne;;;;ブリアンヌ;브리안느;布兰恩;布蘭恩;Brianne;Брианна;Brianne;Briane
;Pauline;;;Paulina;ポーリーン;폴린;保琳娜;保琳娜;Pauline;Паулина;Paolina;Pauline
;Melusin;;Mélusine;Melusina;メリュジーヌ;멜르진;梅露辛;梅露辛;Melusine;Мелюзина;Melusina;Melusina
duel_stats;NEW MOVE;YENİ HAMLE;NOUVEAU COUP;NUEVO GOLPE;新技を習得！;새로운 공격!;新招式;新招式;NEUE TECHNIK;НОВЫЙ ХОД;NUOVA MOSSA;NOVO MOVIMENTO
knife;Treacherous hornet;Hain eşek arısı;Frelon traître;Abejorro Traidor;不実な蜂;악명높은 벌;狡诈飞蜂;狡詐飛蜂;Tückische Hornisse;Коварный шершень;Calabrone traditore;Vespão traiçoeiro
taunt;Silly taunt;Sersem sataşma;Stupide provocation;Provocación estúpida;お道化の挑発;어리석은 도발;犯蠢挑衅;犯蠢挑釁;Alberne Stichelei;Глупая насмешка;Sciocca provocazione;Escárnio tolo
longattack;Angry boar;Kızgın yaban domuzu;Sanglier furieux;Jabalí furioso;怒れる猪;성난 멧돼지;愤怒野猪;憤怒野豬;Wütender Eber;Разъяренный вепрь;Cinghiale furioso;Javali furioso
botte1;Unstoppable bull;Önlenemeyen boğa;Taureau enragé;Toro furioso;荒ぶる雄牛;거친 황소;牛不可当;牛不可當;Unaufhaltsamer Stier;Неудержимый бык;Toro inarrestabile;Touro implacável
botte2;Tricky weasel;Düzenbaz sansar;Fouine insaisissable;Comadreja escurridiza;騙しの鼬;간악한 족제비;狡黠鼬鼠;狡黠鼬鼠;Listiges Wiesel;Хитрый горностай;Donnola scaltra;Doninha astuta
botte3;Cheating pig;Hilekar domuz;Porc tricheur;Cerdo tramposos;欺きの豚;사기꾼 돼지;耍赖猪猡;耍賴豬玀;Schummelndes Schwein;Лживая свинья;Maiale imbroglione;Porco traiçoeiro
retreat;Prudent retreat;Dikkatle geri çekiliş;Retraite prudente;Retirada prudente;戦略的退却;전략적 후퇴;谨慎后退;謹慎後退;Besonnener Rückzug;Благоразумное отступление;Ritirata prudente;Retirada prudente
flowers;Unexpected proposal;Beklenmeyen teklif;Proposition inattendue;Posición inesperada;不意打ちの求愛;깜짝 구애;意外求婚;意外求婚;Unerwarteter Vorschlag;Неожиданное предложение;Proposta inaspettata;Proposta inesperada
pray;Fervent pray;Tutkulu dua;Fervente prière;Oración ferviente;熱き祈り;열정적 기도;热忱祈祷;熱忱祈禱;Inbrünstiges Gebet;Истовая молитва;Preghiera fervente;Oração fervorosa
portrait;Portrait mode;Portre modu;Mode portrait;Modo retrato;ポートレートモード;세로 모드;竖屏模式;竖屏模式;Porträt-Modus;Портретный режим;Modalità ritratto;Modo retrato
king_old;King;Kral;;;現王;왕;国王;國王;;;;
king_young;King;Kral;;;新王;왕;国王;國王;;;;
achieve;Achievements;Başarımlar;Succès;Logros;トロフィー;도전과제;成就;成就;Errungenschaften;Достижения;Obiettivi;Conquistas
saving;Cloud Save;Bulut Kaydı;Sauvegardes;Juegos guardados;クラウドセーブ;클라우드 세이브;云存储;雲存儲;Spielstände;Guardar;Partite salvate;Jogos salvos
highscore;Leaderboard;En İyiler;Scores;Puntuación;ランキング;순위표;排行榜;排行榜;Rangliste;Рекорд;Punteggio;Pontuação
barbare_generic;The Warlord;Cenkbeyi;Le Seigneur de la Guerre;El Señor de la Guerra;プラーン;군사령관;军阀;軍閥;Der Kriegsherr;Вождь;Il signore della guerra;O Chefe de Guerra
barbare;<...> the Fierce;Acımasız <...>;<...> le Redoutable;<...> el Temible;猛々しき<...>;험악한 <...>;威猛的<...>;威猛的<...>;<...> der Grimmige;<...> Свирепый;<…> l'Impetuoso;<...>, o Feroz
;Krahn;;;;武将;크란;;;Krahn;Крахн;Krahn;Krahn
;Drahn;;;;クラーン;드란;;;Drahn;Драхн;Drahn;Drahn
;Prahn;;;;ドラーン;프란;;;Prahn;Прахн;Prahn;Prahn
null;null;;null;null;null;null;null;null;null;null;null;null
