id;bearer;question;tu_question;fr_question;es_question;jp_question;ko_question;sc_question;tc_question;de_question;ru_question;it_question;bp_question;override_yes;tu_override_yes;fr_override_yes;es_override_yes;jp_override_yes;ko_override_yes;sc_override_yes;tc_override_yes;de_override_yes;ru_override_yes;it_override_yes;bp_override_yes;answer_yes;tu_answer_yes;fr_answer_yes;es_answer_yes;jp_answer_yes;ko_answer_yes;sc_answer_yes;tc_answer_yes;de_answer_yes;ru_answer_yes;it_answer_yes;bp_answer_yes;override_no;tu_override_no;fr_override_no;es_override_no;jp_override_no;ko_override_no;sc_override_no;tc_override_no;de_override_no;ru_override_no;it_override_no;bp_override_no;answer_no;tu_answer_no;fr_answer_no;es_answer_no;jp_answer_no;ko_answer_no;sc_answer_no;tc_answer_no;de_answer_no;ru_answer_no;it_answer_no;bp_answer_no;vide
78;diplomat>dark;Are you awake little king? <i>(a blindfold blocks your vision and your hands are tied)</i>;Uyandın mı, kralcık? <i>(Gözleriniz ve elleriniz bağlı)</i>;Tu es réveillé, petit roi ? <i>(un bandeau vous empêche de voir et vos mains sont attachées)</i>;¿Estás despierto reizucho? <i>(una venda impide vuestra visión y vuestras manos están atadas)</i>;これはこれは、哀れな王様、お目覚めですか？+<i>（目隠しされてなにも見えず、+両手も縛られている）</i>;이거 누구신가.  불쌍한 폐하. 눈을 떠 보시겠습니까?  <i>(눈이 가려져 아무것도 보이지 않고 양손도 묶여 있다.)</i>;你醒了吗？小国王。+<i>（你的眼睛被布蒙上，双手也被绑了起来）</i>;你醒了嗎？小國王。+<i>（你的眼睛被布蒙上，雙手也被綁了起來）</i>;Wieder wach, kleiner König? <i>(Eure Augen sind verbunden, Eure Hände gefesselt)</i>;Вы проснулись, юный король? <i>(ваши руки связаны, а на глазах повязка)</i>;Sei sveglio, piccolo Re? <i>(una benda Vi blocca la visuale e le Vostre mani sono legate)</i>;Está acordado, reizinho? <i>(uma venda bloqueia sua visão, e suas mãos estão atadas)</i>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;diplomat>dark;Good, now listen carefully. I am called the Senator and I...;Güzel. Şimdi iyi dinle. Bana Senatör derler ve ben...;Parfait, maintenant écoute-moi bien. Je suis le Sénateur et je...;Bien, ahora escúchame bien. Soy el Senador y...;よろしい。それでは、よくお聞きください…+私は、「元老院議員」と呼ばれる者…;좋습니다. 그러면 잘 들어 주시길...  저는 "원로원 의원"입니다...;那就好，那么你现在听仔细了。+我就是议员，我要……;那就好，那麼你現在聽仔細了。+我就是議員，我要……;Schön, jetzt hört gut zu. Ich werde der Senator genannt und ich ...;Хорошо, теперь слушайте внимательно. Меня называют Сенатор, и я…;Bene, ora ascoltami bene. Sono il Senatore io...;Que bom, ouça com atenção. Sou conhecido como o Senador e...;;;;;;;;;;;;;<i>You hear a loud noise, someone pulls you up and shouts</i> RUN NOW;<i>Bir gürültü duyuyorsunuz, birisi sizi kaldırıp bağırıyor:<i/> HEMEN KOŞUN;<i>Vous entendez un bruit sourd puis quelqu'un vous redresse en criant</i> COUREZ MAINTENANT!;<i>Escucháis un ruido sordo y al momento alguien tira de vos hacia adelante, gritando </i> ¡CORRED!;<i>大きな物音がして、+誰かに助け起こされた。+</i>「今のうちに逃げて！」;<i>큰 소리가 나고 누군가가 도움을 주었다. </i>"늦기 전에 도망쳐요!";<i>（你听见一声震耳的异响，+有人将你拉了出来，+并大喊道：）</i>+快跑！;<i>（你聽見一聲震耳的異響，+有人將你拉了出來，+並大喊道：）</i>+快跑！;<i>Ihr hört ein lautes Geräusch, jemand zieht Euch hoch und ruft:</i> LAUFT;<i>Вы слышите громкий звук, кто-то поднимает вас и кричит</i> БЕЖАТЬ СРОЧНО!;<i>Sentite un forte rumore, qualcuno vi solleva e urla</i> CORRETE!;<i>Você ouve um grande barulho, alguém o puxa e grita </i>CORRA, AGORA!;<i>Don't say anything</i>;<i>Bir şey söyleme</i>;<i>Ne rien dire</i>;<i>No decir nada</i>;<i>（黙っている）</i>;<i>침묵한다.</i>;<i>（什么都不说）</i>;<i>（什麼都不說）</i>;<i>Nichts sagen</i>;<i>Ничего не говорить</i>;<i>Non dire niente</i>;<i>Não dizer nada</i>;<i>You hear a loud noise, someone pulls you up and shouts</i> RUN NOW;<i>Bir gürültü duyuyorsunuz, birisi sizi kaldırıp bağırıyor:<i/> HEMEN KOŞUN;<i>Vous entendez un bruit sourd puis quelqu'un vous redresse en criant</i> COUREZ MAINTENANT!;<i>Escucháis un ruido sordo y al momento alguien tira de vos hacia adelante, gritando </i> ¡CORRED!;<i>大きな物音がして、+誰かに助け起こされた。+</i>「今のうちに逃げて！」;<i>큰 소리가 나고 누군가가 도움을 주었다.</i> "늦기 전에 도망쳐요!";<i>（你听见一声震耳的异响，+有人将你拉了出来，+并大喊道：）</i>+快跑！;<i>（你聽見一聲震耳的異響，+有人將你拉了出來，+並大喊道：）</i>+快跑！;<i>Ihr hört ein lautes Geräusch, jemand zieht Euch hoch und ruft:</i> LAUFT;<i>Вы слышите громкий звук, кто-то поднимает вас и кричит</i> БЕЖАТЬ СРОЧНО!;<i>Sentite un forte rumore, qualcuno vi solleva e urla</i> CORRETE!;<i>Você ouve um grande barulho, alguém o puxa e grita </i>CORRA, AGORA!;
80;diplomat>dark;<i>You run madly in the dark.</i>;<i>Karanlıkta çılgınca koşuyorsunuz.</i>;<i>Vous courez à corps perdu dans le noir.</i>;<i>Corréis desesperadamente en la oscuridad</i>;<i>視界を奪われたまま、王は必死に走った。</i>;<i>시야가 가려진 채 왕은 필사적으로 달렸다. </i>;<i>你在黑暗中疯狂地奔跑着。</i>;<i>你在黑暗中瘋狂地奔跑著。</i>;<i>Ihr rennt durchs Dunkel, so schnell Ihr könnt.</i>;<i>Вы бежите в темноте сломя голову.</i>;<i>Correte all'impazzata nell'oscurità</i>;<i>Você corre loucamente pelo escuro.</i>;<i>Run left</i>;<i>Sola koşun</i>;<i>Courir vers la gauche</i>;<i>Correr hacia la izquierda</i>;<i>（左へ走る）</i>;<i>왼쪽으로 달린다.</i>;<i>（朝左跑）</i>;<i>（朝左跑）</i>;<i>Nach links laufen</i>;<i>Бежать налево</i>;<i>Correre a sinistra</i>;<i>Correr para a esquerda</i>;;;;;;;;;;;;;<i>Run right</i>;<i>Sağa koşun</i>;<i>Courir vers la droite</i>;<i>Correr hacia la derecha</i>;<i>（右へ走る）</i>;<i>오른쪽으로 달린다.</i>;<i>（向右跑）</i>;<i>（向右跑）</i>;<i>Nach rechts laufen</i>;<i>Бежать направо</i>;<i>Correre a destra</i>;<i>Correr para a direita</i>;;;;;;;;;;;;;
81;lady>dark;This way! This way!;Bu yana! Bu yana!;Par ici ! par ici !;¡Por aquí! ¡Por aquí!;こちらです！;이쪽입니다!;这边走！这边走！;這邊走！這邊走！;Hier entlang! Hier entlang!;Сюда! Сюда!;Da questa parte! Da questa parte!;Por aqui! Por aqui!;<i>Follow the voice</i>;<i>Sesi takip edin</i>;<i>Suivre la voix</i>;<i>Seguir la voz</i>;<i>（声のほうへ走る）</i>;<i>목소리 쪽으로 달린다.</i>;<i>（循声而去）</i>;<i>（循聲而去）</i>;<i>Der Stimme folgen</i>;<i>Бежать на голос</i>;<i>Seguire la voce</i>;<i>Seguir a voz</i>;;;;;;;;;;;;;<i>Run right</i>;<i>Sağa koşun</i>;<i>Courir vers la droite</i>;<i>Correr hacia la derecha</i>;<i>（右へ走る）</i>;<i>오른쪽으로 달린다.</i>;<i>（向右跑）</i>;<i>（向右跑）</i>;<i>Nach rechts laufen</i>;<i>Бежать направо</i>;<i>Correre a destra</i>;<i>Correr para a direita</i>;;;;;;;;;;;;;
82;diplomat>dark;<i>You're running over grass. Hopefully there are no trees around.</i>;<i>Çimlerin üzerinde koşuyorsunuz. Etrafta ağaç olmadığını umuyorsunuz.</i>;<i>Vous courez sur de l'herbe. Avec un peu de chance il n'y a pas d'arbre devant vous.</i>;<i>Corréis sobre la hierba. Con un poco de suerte no habrá árboles en vuestro camino.</i>;<i>地面には草が生えているようだ。+木にぶつからなければいいが…</i>;<i>땅에는 풀이 자라고 있는 것 같다. 나무에 부딪치지 않았으면 좋겠는데...</i>;<i>你在草地上狂奔，+幸运的是周围并没有树。</i>;<i>你在草地上狂奔，+幸運的是周圍並沒有樹。</i>;<i>Ihr lauft über Gras. Hoffentlich gibt es hier keine Bäume.</i>;<i>Вы бежите по траве. К счастью поблизости деревьев нет.</i>;<i>State correndo nell'erba. Speriamo non ci siano anche degli alberi intorno.</i>;<i>Você corre pela grama. Por sorte, não há árvores por perto.</i>;<i>Run left</i>;<i>Sola koşun</i>;<i>Courir vers la gauche</i>;<i>Correr hacia la izquierda</i>;<i>（左へ走る）</i>;<i>왼쪽으로 달린다.</i>;<i>（朝左跑）</i>;<i>（朝左跑）</i>;<i>Nach links laufen</i>;<i>Бежать налево</i>;<i>Correre a sinistra</i>;<i>Correr para a esquerda</i>;;;;;;;;;;;;;<i>Run right</i>;<i>Sağa koşun</i>;<i>Courir vers la droite</i>;<i>Correr hacia la derecha</i>;<i>（右へ走る）</i>;<i>오른쪽으로 달린다.</i>;<i>（向右跑）</i>;<i>（向右跑）</i>;<i>Nach rechts laufen</i>;<i>Бежать направо</i>;<i>Correre a destra</i>;<i>Correr para a direita</i>;;;;;;;;;;;;;
83;lady>dark;Not that way! Go on the right!;O taraftan değil! Sağa doğru!;Pas par là ! Sur la droite !;¡Por ahí! ¡Hacia la derecha!;そちらではありません！右です！;그쪽이 아닙니다! 오른쪽입니다!;不是那边！往右跑！;不是那邊！往右跑！;Nicht in diese Richtung! Lauft nach rechts!;Не сюда! Направо!;Non di là! A destra!;Por aí, não! Vá para a direita!;<i>Run left</i>;<i>Sola koşun</i>;<i>Courir vers la gauche</i>;<i>Correr hacia la izquierda</i>;<i>（左へ走る）</i>;<i>왼쪽으로 달린다.</i>;<i>（朝左跑）</i>;<i>（朝左跑）</i>;<i>Nach links laufen</i>;<i>Бежать налево</i>;<i>Correre a sinistra</i>;<i>Correr para a esquerda</i>;;;;;;;;;;;;;<i>Run right</i>;<i>Sağa koşun</i>;<i>Courir vers la droite</i>;<i>Correr hacia la derecha</i>;<i>（右へ走る）</i>;<i>오른쪽으로 달린다.</i>;<i>（向右跑）</i>;<i>（向右跑）</i>;<i>Nach rechts laufen</i>;<i>Бежать направо</i>;<i>Correre a destra</i>;<i>Correr para a direita</i>;;;;;;;;;;;;;
84;diplomat>dark;<i>You hear water flowing in the distance.</i>;<i>Uzaktan su sesi duyuyorsunuz.</i>;<i>Vous entendez de l'eau couler au loin.</i>;<i>Oís el sonido del agua en la distancia.</i>;<i>遠くで水の流れる音がする。</i>;<i>멀리서 물 흐르는 소리가 난다. </i>;<i>你听见远方传来涓涓水声。</i>;<i>你聽見遠方傳來涓涓水聲。</i>;<i>In der Ferne hört Ihr Wasser fließen.</i>;<i>Вы слышите текущую вдалеке воду.</i>;<i>In lontananza, sentite dell'acqua che scorre.</i>;<i>Você ouve água corrente à distância.</i>;<i>Carry on</i>;<i>Devam edin</i>;<i>Continuer</i>;<i>Continuar</i>;<i>（そのまま進む）</i>;<i>그대로 진행한다.</i>;<i>（继续）</i>;<i>（繼續）</i>;<i>Weiterlaufen</i>;<i>Продолжать</i>;<i>Continuare</i>;<i>Continuar</i>;;;;;;;;;;;;;<i>Run right</i>;<i>Sağa koşun</i>;<i>Courir vers la droite</i>;<i>Correr hacia la derecha</i>;<i>（右へ走る）</i>;<i>오른쪽으로 달린다.</i>;<i>（向右跑）</i>;<i>（向右跑）</i>;<i>Nach rechts laufen</i>;<i>Бежать направо</i>;<i>Correre a destra</i>;<i>Correr para a direita</i>;;;;;;;;;;;;;
85;diplomat>dark;<i>It seems there's a river close by.</i>;<i>Yakınlarda bir nehir var gibi duruyor.</i>;<i>On dirait qu'il y a une rivière dans les parages.</i>;<i>Se diría que hay un riachuelo por estos parajes.</i>;<i>近くに川があるようだ。</i>;<i>근처에 강이 있는 것 같다. </i>;<i>附近应该有一条河。</i>;<i>附近應該有一條河。</i>;<i>Anscheinend ist ein Fluss ganz in der Nähe.</i>;<i>Похоже, рядом река.</i>;<i>Sembra che ci sia un fiume nei paraggi.</i>;<i>Parece que há um rio por perto.</i>;<i>Run left</i>;<i>Sola koşun</i>;<i>Courir vers la gauche</i>;<i>Correr hacia la izquierda</i>;<i>（左へ走る）</i>;<i>왼쪽으로 달린다.</i>;<i>（朝左跑）</i>;<i>（朝左跑）</i>;<i>Nach links laufen</i>;<i>Бежать налево</i>;<i>Correre a sinistra</i>;<i>Correr para a esquerda</i>;;;;;;;;;;;;;<i>Carry on</i>;<i>Devam edin</i>;<i>Continuer</i>;<i>Continuar</i>;<i>（そのまま進む）</i>;<i>그대로 진행한다.</i>;<i>（继续）</i>;<i>（繼續）</i>;<i>Weiterlaufen</i>;<i>Продолжать</i>;<i>Continuare</i>;<i>Continuar</i>;;;;;;;;;;;;;
86;diplomat>dark;<i>You hear people shouting to your left.</i>;<i>Solunuzdan haykıran insanların sesini duyuyorsunuz.</i>;<i>Vous entendez des cris sur votre gauche.</i>;<i>Percibís voces desconocidas gritando a vuestra izquierda.</i>;<i>左のほうから、誰かが大声で呼びかけてくる。</i>;<i>왼쪽에서 누군가가 큰 소리로 부른다. </i>;<i>你听见左方有许多人的喊叫声。</i>;<i>你聽見左方有許多人的喊叫聲。</i>;<i>Links von Euch hört Ihr Leute rufen.</i>;<i>Слева от вас вы слышите людские крики.</i>;<i>Sentite qualcuno che urla alla Vostra sinistra.</i>;<i>Você ouve pessoas gritando à esquerda.</i>;<i>Run left</i>;<i>Sola koşun</i>;<i>Courir vers la gauche</i>;<i>Correr hacia la izquierda</i>;<i>（左へ走る）</i>;<i>왼쪽으로 달린다.</i>;<i>（朝左跑）</i>;<i>（朝左跑）</i>;<i>Nach links laufen</i>;<i>Бежать налево</i>;<i>Correre a sinistra</i>;<i>Correr para a esquerda</i>;;;;;;;;;;;;;<i>Run right</i>;<i>Sağa koşun</i>;<i>Courir vers la droite</i>;<i>Correr hacia la derecha</i>;<i>（右へ走る）</i>;<i>오른쪽으로 달린다.</i>;<i>（向右跑）</i>;<i>（向右跑）</i>;<i>Nach rechts laufen</i>;<i>Бежать направо</i>;<i>Correre a destra</i>;<i>Correr para a direita</i>;;;;;;;;;;;;;
87;end>dead_king_drown;<i>You fall into cold water violently. Panicked, you try to escape the tide, in vain.</i>;<i>Aniden soğuk sulara düşüyorsunuz. Panik olup akıntıdan kaçmaya çalışıyorsunuz fakat işe yaramıyor.</i>;<i>Vous tombez dans de l'eau glacée. Paniqué, vous essayez de lutter contre le courant, en vain.</i>;<i>Caéis en el agua helada. Aterrorizado, intentáis en vano evitar la corriente.</i>;<i>王は突然、冷たい水の中に落ちた。+流れに逆らおうと必死にもがいたが、+無駄だった。</i>;<i>왕은 갑자기 찬물에 떨어졌다. 흐름을 거슬러 보려 필사적으로 몸부림쳤지만 소용 없었다. </i>;<i>你一脚踩空，狠狠摔进了冰凉的水里。+你惊恐地想要游出汹涌的水流，+但终究只是徒劳无功。</i>;<i>你一腳踩空，狠狠摔進了冰涼的水裏。+你驚恐地想要遊出洶湧的水流，+但終究只是徒勞無功。</i>;<i>Ihr stürzt ins kalte Wasser. Panisch versucht Ihr der Strömung zu entkommen, doch vergebens.</i>;<i>Вы падаете в ледяную воду. Вы паникуете и отчаянно пытаетесь не попасть в течение.</i>;<i>Cadete violentemente nell'acqua fredda. In panico, cercate di sfuggire alla corrente, ma invano.</i>;<i>Você cai violentamente na água gelada. Em pânico, tenta fugir da corrente, em vão.</i>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;lady>dark;Here! You can stop now!;Burada durabilirsiniz artık!;Ici ! Vous pouvez vous arrêter maintenant !;¡Aquí! ¡Podéis deteros!;さあ、ここまで来れば、もう大丈夫ですよ！;자, 여기까지 왔으니 이제 괜찮습니다!;就是这！你可以停下来了！;就是這！你可以停下來了！;Hier! Ihr könnt jetzt aufhören zu laufen!;Сюда! Больше можно не бежать.;Qui! Potete fermarvi ora!;Aqui! Agora você pode parar!;<i>Stop</i>;<i>Durun</i>;<i>S'arrêter</i>;<i>Pararse</i>;<i>（立ち止まる）</i>;<i>멈춰선다.</i>;<i>（停下）</i>;<i>（停下）</i>;<i>Anhalten</i>;<i>Остановиться</i>;<i>Fermarsi</i>;<i>Parar</i>;;;;;;;;;;;;;<i>Carry on</i>;<i>Devam edin</i>;<i>Continuer</i>;<i>Continuar</i>;<i>（そのまま進む）</i>;<i>그대로 진행한다.</i>;<i>（继续）</i>;<i>（繼續）</i>;<i>Weiterlaufen</i>;<i>Продолжать</i>;<i>Continuare</i>;<i>Continuar</i>;;;;;;;;;;;;;
89;lady;It is me, <lady>. Shussh, they're coming.;Benim, <lady>. Sessiz olun, geliyorlar.;C'est moi, <lady>. Chut... ils arrivent.;Soy yo, <lady>. Cuidado... se acercan.;陛下、私です、<lady>です。+声を出してはいけません。+彼らに気づかれてしまいます。;폐하, 저예요. <lady>입니다.  큰 소리를 내시면 안 됩니다.  놈들이 눈치를 챌 겁니다.;是我，<lady>，+嘘，别出声，他们过来了。;是我，<lady>，+噓，別出聲，他們過來了。;Ich bin es, <lady>. Psst, sie kommen.;Это я, <lady>. Тс-с, они идут.;Sono io, <lady>. Sshh, stanno arrivando.;Sou eu, <lady>. Shhhh, eles estão vindo.;<i>Look behind</i>;<i>Arkanıza bakın</i>;<i>Regarder en arrière</i>;<i>Mirar para atrás</i>;<i>（うしろを振り返る）</i>;<i>뒤돌아본다.</i>;<i>（朝后看）</i>;<i>（朝後看）</i>;<i>Nach hinten sehen</i>;<i>Обернуться</i>;<i>Guardarsi alle spalle</i>;<i>Olhar para trás</i>;<i>You're lying behind a large tree stump. Men with torches pass by without noticing you.</i>;<i>Kocaman bir ağaç gövdesinin arkasında yatıyorsunuz. Ellerinde meşaleler olan adamlar sizi fark etmeden geçiyor.</i>;<i>Vous êtes couché sous le tronc d'un arbre mort. Des hommes avec des torches passent sans vous remarquer.</i>;<i>Estáis tumbado detrás del tronco de un árbol. Unos hombres con antorchas pasan sin veros.</i>;<i>王は大きな切り株の陰に横たわっていた。+たいまつを持った男たちが近づいてきたが、+気づかずそのまま走り去った。</i>;왕은 큰 그루터기의 그늘에 누워 있었다.</i> 횃불을 든 남자들이 다가 왔지만 눈치채지 못하고 그대로 지나갔다. </i>;<i>（你躲在一个大树桩后面。+手举火炬的人们从你身旁走过+却并未发现你。）</i>;<i>（你躲在一個大樹樁後面。+手舉火炬的人們從你身旁走過+卻並未發現你。）</i>;<i>Ihr liegt hinter einem großen Baumstumpf. Männer mit Fackeln kommen vorbei, ohne Euch zu bemerken.</i>;<i>Вы прячетесь за большим пнем. Люди с факелами не замечают вас и проходят мимо.</i>;<i>Giacete dietro un grosso tronco d'albero. Degli uomini armati di torce passano senza notarvi.</i>;<i>Enquanto você está parado atrás de um grande tronco, homens com tochas passam sem notá-lo.</i>;<i>Don't move</i>;<i>Hareket etmeyin</i>;<i>Ne pas bouger</i>;<i>No moverse</i>;<i>（じっとしている）</i>;<i>가만히 있는다.</i>;<i>（不动）</i>;<i>（不動）</i>;<i>Nicht bewegen</i>;<i>Не двигаться</i>;<i>Non muoversi</i>;<i>Não se mexer</i>;<i><lady> is dishevelled and panting. You hear people running by, but no one stops.</i>;<i><lady> kesik kesik nefes alıyor ve üstü başı dağınık. Etrafta koşan insanlar duyuyorsunuz ama duran yok.</i>;<i><lady> est décoiffée et à bout de souffle. Vous entendez un groupe de personnes courir mais personne ne vous remarque.</i>;<i><lady> está despeinada y sin aliento. Oís a un grupo de personas que corren pero nadie os ve.</i>;<i><lady>は息を切らし、+髪も乱れている。複数の人間が+近くを駆け抜ける音がしたが、+足を止める者はいなかった。</i>;<i><lady>의 숨은 가쁘고 머리카락도 엉망이다. 여럿이 근처를 앞질러가는 소리가 들렸지만 멈추는 자는 없었다. </i>;<i>（<lady>披头散发，气喘吁吁。+你听到有人跑了过去，但没人停下脚步。）</i>;<i>（<lady>披頭散髮，氣喘吁吁。+你聽到有人跑了過去，但沒人停下腳步。）</i>;<i><lady> ist zerzaust und keucht. Ihr hört Leute vorbeilaufen, aber niemand bleibt stehen.</i>;<i><lady> растрепана и запыхалась. Вы слышите, как пробегают люди, но никто не останавливается.</i>;<i><lady> è scompigliata e affannata. Sentite delle persone che corrono nelle vicinanze, ma non si fermano.</i>;<i><lady> está desgrenhada e ofegante. Você ouve pessoas correndo, mas ninguém para.</i>;
90;lady;We're safe my Lord. We should go back to the castle.;Güvendeyiz, Lordum. Kaleye geri dönelim.;Nous sommes sains et saufs Monseigneur. Revenons au château.;Estamos sanos y salvos Mi Señor. Volvamos al castillo.;危険は去りました。ともにお城へ戻りましょう。;위험은 사라졌어요. 함께 성으로 돌아갑시다.;我们安全了，陛下，+我们应该赶紧回城堡去。;我們安全了，陛下，+我們應該趕緊回城堡去。;Wir sind sicher, Majestät. Wir sollten zur Burg zurückkehren.;Мы в безопасности, милорд. Нужно вернуться в замок.;Siamo al sicuro, mio Signore. Torniamo al castello.;Você está a salvo, Alteza. É melhor voltarmos para o castelo.;Thank you;Teşekkür ederim;Merci;Gracias;感謝する;감사하네.;谢谢你;謝謝你;Vielen Dank;Спасибо;Grazie;Obrigado;;;;;;;;;;;;;What happened?;Ne oldu?;Que s'est-il passé ?;¿Qué ha pasado?;なにが起きた？;무슨 일이 있었나?;发生了什么？;發生了什麼？;Was ist geschehen?;Что произошло?;Che è successo?;O que aconteceu?;;;;;;;;;;;;;
91;lady;I followed you on your way out of the castle, saw what <diplomat> did to you.;Kaleden çıkarken sizi takip ettim, <diplomat> haininin size yaptıklarını gördüm.;Je vous ai suivi lorsque vous êtes sorti du chateau, j'ai vu ce que <diplomat> vous a fait.;Os he seguido cuando salíais del castillo, he visto lo que <diplomat> os ha hecho.;陛下がお城を出ていかれるのが見えたので、+あとをつけたのです。そうしたら、+<diplomat>が+陛下にひどいことを…;폐하께서 성을 나가시는 것을 보고 몰래 따라왔습니다.  그랬더니 <diplomat>가(이) 폐하께 끔찍한 짓을...;我是在您出城堡时偷偷跟上来的，+<diplomat>对您犯下的事情我都看见了。;我是在您出城堡時偷偷跟上來的，+<diplomat>對您犯下的事情我都看見了。;Ich bin Euch aus der Burg gefolgt und sah, was <diplomat> Euch angetan hat.;Я последовала за вами из замка, видела, что <diplomat> сделал с вами.;Vi ho seguito mentre uscivate dal castello, ho visto quello che <diplomat> ha fatto.;Eu o segui na saída do castelo, vi o que o <diplomat> fez com você.;You were so courageous;Pek cesursunuz;Vous êtes très courageuse;Sois muy valiente;そなたは勇敢だな;그대는 용감하군.;你这样真是勇气过人;你這樣真是勇氣過人;Ihr wart sehr mutig;Это было очень смело;Siete molto coraggiosa;Você foi tão corajosa;;;;;;;;;;;;;Thank you;Teşekkür ederim;Merci;Gracias;感謝する;감사하네.;谢谢你;謝謝你;Vielen Dank;Спасибо;Grazie;Obrigado;;;;;;;;;;;;;
92;lady;Don't thank me. I would have done anything for you.;Bana teşekkür etmeyin. Sizin için ne gerekirse yaparım.;Ne me remerciez pas. J'aurais fait n'importe quoi pour vous.;No me lo agradezcáis. Haría cualquier cosa por vos.;いえ、お礼なんて…+陛下のためなら、私、なんでもいたしますわ。;아뇨, 감사라니요.  폐하를 위해서라면 저는 무슨 일이든 할 겁니다.;不用感谢我，为了您，+我什么事都愿做。;不用感謝我，為了您，+我什麼事都願做。;Dankt mir nicht. Ich hätte alles für Euch getan.;Не благодарите меня. Я ради вас пойду на что угодно.;Non ringraziatemi. Avrei fatto qualsiasi cosa per Voi.;Não me agradeça. Eu faria qualquer coisa por você.;<i>Take her in you arms</i>;<i>Kollarınızla sarın</i>;<i>La prendre dans vos bras</i>;<i>Tomarla en vuestros brazos</i>;<i>（彼女を抱きしめる）</i>;<i>그녀를 끌어안는다.</i>;<i>（将她拥入怀中）</i>;<i>（將她擁入懷中）</i>;<i>Sie in den Arm nehmen</i>;<i>Обнять ее.</i>;<i>Prenderla tra le braccia</i>;<i>Tomá-la nos braços</i>;;;;;;;;;;;;;Again, thank you;Yeniden teşekkür ederim;Encore merci;Gracias de nuevo;本当に感謝する;정말 고맙네.;再次谢谢你;再次謝謝你;Vielen Dank nochmal;И все же, спасибо;Grazie di nuovo;Mais uma vez, obrigado;;;;;;;;;;;;;
93;lady;My Lord, three years have passed since our little adventure. And still we don't have much time.;Lordum, yaşadığımız maceranın üzerinden üç yıl geçti. Pek fazla vaktimiz yok.;Monseigneur, trois années ont passé depuis notre petite aventure. Et le temps nous manque encore.;Mi Señor, han pasado tres años desde nuestra pequeña aventura. Y no tenemos mucho tiempo.;陛下、あの「冒険」の日から+3年がたちました。+私たちにはもう、あまり時間がありません。;폐하, 그 "모험"의 날로부터 3년이 지났습니다.  저희에게는 이제 시간이 별로 없습니다.;陛下，自我们那一次的小小的冒险后，+已过去了三年，+而我们的时间依然很有限。;陛下，自我們那一次的小小的冒險後，+已過去了三年，+而我們的時間依然很有限。;Majestät, drei Jahre sind seit unserem kleinen Abenteuer vergangen. Und uns fehlt immer noch die Zeit.;Милорд, три года минуло с того нашего маленького приключения. И у нас все так же нет времени.;Mio Signore, sono passati tre anni dalla nostra piccola avventura. E non abbiamo ancora tempo.;Meu senhor, três anos se passaram desde a nossa pequena aventura e ainda assim não temos muito tempo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;lady;You can't say 'no' to me, one of the effects of the love curse you're under.;Bana "hayır" diyemezsiniz. Size yapılan aşk lanetinin etkilerinden birisi bu.;Je sais que vous ne pouvez pas me dire 'non', c'est un des effets du sort qui vous affecte.;Sé que no podéis decir 'no', es uno de los efectos del encantamiento que os afecta.;陛下は私の言うことに反対できません。+これは、陛下にかけられた愛の呪いのため…;폐하께서는 제 말을 거역하실 수 없습니다.  폐하께 걸린 사랑의 저주 때문이죠.;您不能摇头拒绝我，+这是您如今所受爱情诅咒的一个后果。;您不能搖頭拒絕我，+這是您如今所受愛情詛咒的一個後果。;Ihr könnt nicht "Nein" zu mir sagen. Eine Wirkung des Banns, dem Ihr unterliegt.;Вы не можете мне отказать — это один из эффектов любовного проклятья.;Non potete dirmi di no, è uno degli effetti della maledizione d'amore che Vi lega.;Não pode me dizer não, é um dos efeitos do feitiço de amor sobre você.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
