thematic;card;id;bearer;conditions;lockturn;weight;question;override_yes;answer_yes;yes_cash;yes_team;yes_market;yes_capital;yes_custom;override_no;answer_no;no_cash;no_team;no_market;no_capital;no_custom
open;board_budget;66;董事会主席 韩柏;ceo_run and ceo_open>=7 and !sale_supported and !chair_removed;8;340;"韩柏提出最后一笔交易：把曜石云卖给大厂，或者把他从董事会赶出去。
‘选一个，你的任期都不会一样。’";联合独立董事;韩柏失去控制权。你赢得董事会，也继承了他的敌人。;-4;3;2;9;chair_removed and evidence+ and ceo_open+;支持收购;你拿到一笔改变人生的钱，也把所有旧账交给了买家。;11;-2;3;6;sale_supported and company_sold and >_ending_sold and ceo_open+
open;employee_walkout;67;员工代表 赵宁;ceo_run and turn>=25 and !pay_transparent and !retention_paid;8;330;"凌晨两点，员工把办公区的灯全关了：
‘我们要的不是团建，是知道谁会替我们签字。’";发一笔留任奖;人留下了，匿名帖也留下了。你把沉默变成了一项固定成本。;-11;6;2;3;retention_paid and risk+ and dirty_route and ceo_open+;公开薪酬和账目;有人离职，留下的人终于知道自己在为什么加班。;-6;4;-2;4;pay_transparent and audit_closed and ceo_open+
open;competitor_offer;68;竞争对手 CEO;ceo_run and turn>=25 and !merger_refused and !merger_signed;8;330;"对手递来一份合并方案：你们共享客户，他替你处理历史合规。
‘两家公司合在一起，谁还分得清第一张单？’";签框架协议;市场欢呼。法务把你的旧账编号写进了合并尽调清单。;6;-3;7;5;merger_signed and risk+ and evidence+ and dirty_route and ceo_open+;拒绝并公开;你失去一条捷径，却把边界画给整个行业看。;-3;2;4;4;merger_refused and competitor_report and ceo_open+
open;final_investigation;69;林岚与监管人员;ceo_run and ceo_open>=7 and risk>=4 and evidence>=5 and !scapegoat_ready and !final_whistle and !final_arrest;del;980000;"调查材料已经足够厚。林岚把两条路写在纸上：
交出所有人，或者把最后一份备份带进看守所。";替所有人扛下;你没有再看任何人的消息。凌晨六点，门铃响了。;-4;-3;-2;2;final_arrest and >_ending_arrest and ceo_open+;交出录音和账本;你按下发送。周启明、吴老板和韩柏的名字一起亮起，自己的名字也在第一行。;;-6;1;3;final_whistle and >_ending_whistle and ceo_open+
open;scapegoat_offer;70;董事长 韩柏;ceo_run and ceo_open>=7 and scapegoat_ready and risk>=5 and evidence<6 and !scapegoat_taken and !scapegoat_refused;del;975000;"韩柏把一份责任确认书推到你面前：
‘签下去，公司的名字会留下；不签，所有人的名字都会留下。’";把原件交给监管;你把确认书和董事会聊天记录一起交出。韩柏终于叫了你的全名。;-2;-4;1;4;scapegoat_refused and evidence+ and >_ending_whistle and ceo_open+;替公司签字;你把最后一页签上自己的名字。董事会散会时，韩柏没有和你握手。;-2;-2;1;2;scapegoat_taken and >_ending_scapegoat and ceo_open+
open;final_clean;71;董事会主席 韩柏;ceo_run and ceo_open>=7 and clean_ceo and audit_closed and !dirty_route and risk<3 and !final_clean_ceo and !final_clean_sale;del;970000;"清账完成，审计报告没有红字。韩柏问你最后一次：
‘你要把公司交给市场，还是把它交给自己？’";卖给大厂;你带着一笔干净的钱离场。买家买走公司，没买走你的名字。;6;-2;3;2;final_clean_sale and company_sold and >_ending_sold and ceo_open+;继续做 CEO;你签下长期任命。没有人鼓掌，但每个数字都能找到来源。;;2;2;2;final_clean_ceo and >_ending_clean_ceo and ceo_open+
open;final_black;72;投资人代表;ceo_run and ceo_open>=7 and dirty_route and risk>=4 and evidence<7 and !final_black_empire and !final_black_whistle;del;960000;"现金、订单和董事会的票都在你手里。投资人问：
‘现在把公司卖掉，还是把这套玩法做成帝国？’";把账交出去;你把最后一份备份发给记者。你终于不用再记谁欠你一个人情。;-2;-4;2;2;final_black_whistle and >_ending_whistle and ceo_open+;继续扩张;你把灰账藏进更大的交易。没人敢说你赢得不漂亮。;3;1;4;2;final_black_empire and >_ending_black_empire and ceo_open+
open;final_board;73;独立董事 叶真;ceo_run and ceo_open>=8 and !final_handover and !final_board_puppet;del;940000;"你已经坐了很久。叶真把交接协议推来：
‘主动走，或者等董事会用一场投票替你走。’";再赌一把;你赢下这次表决，代价是董事会从此只剩下你的回声。;-2;-3;3;4;final_board_puppet and >_ending_board_puppet and ceo_open+;签交接;你把钥匙交给接班人。掌声很轻，但没有人追着你要旧账。;1;4;1;3;final_handover and >_ending_handover and ceo_open+
endings;ending_cash_zero;74;现金断裂;;del;;工资、供应商和律师同时上门。你从实习生一路签上来的每一张单，终于一起找你兑现。;再看一眼;接受现金断裂;;;;;end_cash_zero;接受结局;接受现金断裂;;;;;end_cash_zero
endings;ending_cash_max;75;账目无法解释;;del;;账上多出的钱足以买下半个行业，却解释不了第一张八万元报销单。审计在门口等你。;再看一眼;接受审计;;;;;end_cash_max;接受结局;接受审计;;;;;end_cash_max
endings;ending_team_zero;76;团队散伙;;del;;最后一个同事把工牌放在桌上：不是因为你最坏，而是因为没人知道下一次谁会被你牺牲。;再看一眼;接受团队散伙;;;;;end_team_zero;接受结局;接受团队散伙;;;;;end_team_zero
endings;ending_team_max;77;派系逼宫;;del;;所有人都忠于你，也都拿着一张你的秘密。董事会一致同意：公司不能再由你一个人领导。;再看一眼;接受派系逼宫;;;;;end_team_max;接受结局;接受派系逼宫;;;;;end_team_max
endings;ending_market_zero;78;失去价值;;del;;业绩归零。董事会不再需要解释你的过去，只需要找一个更便宜的人。;再看一眼;接受失去价值;;;;;end_market_zero;接受结局;接受失去价值;;;;;end_market_zero
endings;ending_market_max;79;爆单崩盘;;del;;订单和承诺一起爆表。客户开始排队起诉，销售总监还在问要不要再签一单。;再看一眼;接受爆单崩盘;;;;;end_market_max;接受结局;接受爆单崩盘;;;;;end_market_max
endings;ending_capital_zero;80;被架空;;del;;你仍然是 CEO，直到门禁失效。董事会说这是一次平稳交接。;再看一眼;接受被架空;;;;;end_capital_zero;接受结局;接受被架空;;;;;end_capital_zero
endings;ending_capital_max;81;所有人联合防你;;del;;你终于拥有所有权力，于是所有人开始拥有同一个目标：不要让你继续拥有更多。;再看一眼;接受联合防你;;;;;end_capital_max;接受结局;接受联合防你;;;;;end_capital_max
endings;ending_arrest;82;东窗事发;;del;;经侦在凌晨六点敲门。你坐上 CEO 用了十八次决定，离开公司只用了一副手铐。;再看一眼;接受逮捕;;;;;end_arrest;接受结局;接受逮捕;;;;;end_arrest
endings;ending_scapegoat;83;替罪羊;;del;;所有人都做过。只有你在最关键的那张单子上签了字。;再看一眼;接受替罪羊;;;;;end_scapegoat;接受结局;接受替罪羊;;;;;end_scapegoat
endings;ending_clean_ceo;84;清白上位;;del;;你没有变成好人，只是每次都让证据留下来。公司活下来了，董事会终于只能叫你 CEO。;再看一眼;接受清白上位;;;;;end_clean_ceo;接受结局;接受清白上位;;;;;end_clean_ceo
endings;ending_black_empire;85;黑账帝国;;del;;你把每一笔灰色收入都变成了更大的权力。没人能证明你清白，也没人敢证明你有罪。;再看一眼;接受黑账帝国;;;;;end_black_empire;接受结局;接受黑账帝国;;;;;end_black_empire
endings;ending_whistle;86;举报者;;del;;你交出录音和账本。公司被拆开，旧领导被带走，而你终于不用再记谁欠你一个人情。;再看一眼;接受举报者;;;;;end_whistle;接受结局;接受举报者;;;;;end_whistle
endings;ending_sold;87;卖掉一切;;del;;三十亿到账。你离开了公司，却发现买家把你的名字留在了所有旧账的第一页。;再看一眼;接受卖掉一切;;;;;end_sold;接受结局;接受卖掉一切;;;;;end_sold
endings;ending_handover;88;主动交棒;;del;;你把椅子留给接班人。最难得的不是坐上 CEO，而是让公司在你离开后仍然做决定。;再看一眼;接受主动交棒;;;;;end_handover;接受结局;接受主动交棒;;;;;end_handover
endings;ending_board_puppet;89;董事会木偶;;del;;你保住了 CEO 的头衔，却失去了预算、人事和最后一句自己的话。每次投票都通过，唯独没人再问你。;再看一眼;接受被架空;;;;;end_board_puppet;接受结局;接受被架空;;;;;end_board_puppet
